row_label_raw,row_label_full,col_0,Quyền sử dụng đất Triệu VND,Phần mềm máy vi tính Triệu VND,Tài sản cố định vô hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Quyền sử dụng đất Triệu VND,numeric__Phần mềm máy vi tính Triệu VND,numeric__Tài sản cố định vô hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.280.840,314.512,27.998,4.623.350,4280840.0,314512.0,27998.0,4623350.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,46.808,60.050,-,106.858,46808.0,60050.0,,106858.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,20.058,135,(1.170),19.023,20058.0,135.0,-1170.0,19023.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,(904),(1.128),(2.032),,-904.0,-1128.0,-2032.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.347.706,373.793,25.700,4.747.199,4347706.0,373793.0,25700.0,4747199.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,6.279,263.744,20.250,290.273,6279.0,263744.0,20250.0,290273.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,158,14.868,1.144,16.170,158.0,14868.0,1144.0,16170.0
Biến động khác,Hao mòn lũy kế > Biến động khác,Biến động khác,-,588,(588),-,,588.0,-588.0,
Chênh lệch tỷ giá,Hao mòn lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,(903),(1.125),(2.028),,-903.0,-1125.0,-2028.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,6.437,278.297,19.681,304.415,6437.0,278297.0,19681.0,304415.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.274.561,50.768,7.748,4.333.077,4274561.0,50768.0,7748.0,4333077.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.341.269,95.496,6.019,4.442.784,4341269.0,95496.0,6019.0,4442784.0
