row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số Thuyết minh,Mã số Thuyết minh_1,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,25,7.716.890.477.631,7.176.575.481.550,,1.0,25.0,7716890477631.0,7176575481550.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,25,155.615.377.213,133.608.551.433,,2.0,25.0,155615377213.0,133608551433.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,7.561.275.100.418,7.042.966.930.117,,10.0,,7561275100418.0,7042966930117.0
4.,4.,4.,Giá vốn hàng bán,11,26,6.244.427.300.529,6.083.774.733.267,,11.0,26.0,6244427300529.0,6083774733267.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,1.316.847.799.889,959.192.196.850,,20.0,,1316847799889.0,959192196850.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,28,128.316.681.426,127.016.141.703,,21.0,28.0,128316681426.0,127016141703.0
7.,7.,7.,Chi phí tài chính,22,29,63.234.525.222,102.753.481.637,,22.0,29.0,63234525222.0,102753481637.0
,,,- Trong đó: Chi phí lãi vay,23,,43.301.059.166,87.172.530.234,,23.0,,43301059166.0,87172530234.0
8.,8.,8.,Chi phí bán hàng,25,30,369.000.315.151,364.058.697.253,,25.0,30.0,369000315151.0,364058697253.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,30,304.406.663.012,201.319.201.758,,26.0,30.0,304406663012.0,201319201758.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,708.522.977.930,418.076.957.905,,30.0,,708522977930.0,418076957905.0
11.,11.,11.,Thu nhập khác,31,31,10.735.344.253,48.483.380.378,,31.0,31.0,10735344253.0,48483380378.0
12.,12.,12.,Chi phí khác,32,31,2.724.517.878,3.472.166.901,,32.0,31.0,2724517878.0,3472166901.0
13.,13.,13.,Lợi nhuận khác (40=31-32),40,31,8.010.826.375,45.011.213.477,,40.0,31.0,8010826375.0,45011213477.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,716.533.804.305,463.088.171.382,,50.0,,716533804305.0,463088171382.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,32,52.561.609.356,41.017.685.327,,51.0,32.0,52561609356.0,41017685327.0
16.,16.,16.,Chi phí/(thu nhập) thuế thu nhập doanh nghiệp hoãn lại,52,,1.525.860.678,(5.653.243.037),,52.0,,1525860678.0,-5653243037.0
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52)Trong đó:,60,,662.446.334.271,427.723.729.092,,60.0,,662446334271.0,427723729092.0
17.1.,17.1.,17.1.,Lợi nhuận sau thuế của Công ty mẹ,61,,661.046.074.192,426.175.229.390,,61.0,,661046074192.0,426175229390.0
17.2.,17.2.,17.2.,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,1.400.260.079,1.548.499.702,,62.0,,1400260079.0,1548499702.0
18.,18.,18.,Lãi cơ bản trên cổ phiếu,70,33,1.017,595,,70.0,33.0,1017.0,595.0
