row_label_raw,row_label_full,Năm nay,Nội địa,Nước ngoài,Tổng cộng,numeric__Nội địa,numeric__Nước ngoài,numeric__Tổng cộng
,,,VND,VND,VND,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,5.911.587.327.593,1.649.687.772.825,7.561.275.100.418,5911587327593.0,1649687772825.0,7561275100418.0
Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,(4.728.796.474.668),(1.515.630.825.861),(6.244.427.300.529),-4728796474668.0,-1515630825861.0,-6244427300529.0
Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,1.182.790.852.925,134.056.946.964,1.316.847.799.889,1182790852925.0,134056946964.0,1316847799889.0
Chi phí hoạt động chung,Chi phí hoạt động chung,Chi phí hoạt động chung,,,(673.406.978.163),,,-673406978163.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,128.316.681.426,,,128316681426.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,(63.234.525.222),,,-63234525222.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,10.735.344.253,,,10735344253.0
Chi phí khác,Chi phí khác,Chi phí khác,,,(2.724.517.878),,,-2724517878.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,716.533.804.305,,,716533804305.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,(52.561.609.356),,,-52561609356.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,(1.525.860.678),,,-1525860678.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,662.446.334.271,,,662446334271.0
