row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
I.,I.,I.,LU'U CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,716.533.804.305,463.088.171.382,,1.0,716533804305.0,463088171382.0
2.,2.,2.,Điều chỉnh cho các khoản:,,,,,,,
,,,Khấu hao tài sản cố định,02,1.318.152.452.706,1.318.840.642.491,,2.0,1318152452706.0,1318840642491.0
,,,Các khoản dự phòng,03,(8.481.678.247),8.918.258.694,,3.0,-8481678247.0,8918258694.0
,,,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,04,(1.535.037.700),(2.435.472.951),,4.0,-1535037700.0,-2435472951.0
,,,Lãi từ hoạt động đầu tư,05,(111.927.584.745),(117.699.812.006),,5.0,-111927584745.0,-117699812006.0
,,,Chỉ phí lãi vay,06,43.301.059.166,87.172.530.234,,6.0,43301059166.0,87172530234.0
,,,Các khoản điều chỉnh khác,07,79.425.415.134,-,,7.0,79425415134.0,
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,2.035.468.430.619,1.757.884.317.844,,8.0,2035468430619.0,1757884317844.0
,,,Giảm các khoản phải thu,09,135.339.605.619,55.144.219.745,,9.0,135339605619.0,55144219745.0
,,,Giảm/(tăng) hàng tồn kho,10,475.406.863.546,(327.196.044.841),,10.0,475406863546.0,-327196044841.0
,,,"(Giảm)/tăng các khoản phải trả (Không kế lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,(702.525.303.443),93.620.644.615,,11.0,-702525303443.0,93620644615.0
,,,Giảm chi phí trả trước,12,20.815.133.774,8.942.904.726,,12.0,20815133774.0,8942904726.0
,,,Tiền lãi vay đã trả,14,(57.259.768.947),(100.441.507.397),,14.0,-57259768947.0,-100441507397.0
,,,Thuế thu nhập doanh nghiệp đã nộp,15,(42.053.571.588),(52.400.707.340),,15.0,-42053571588.0,-52400707340.0
,,,Tiền thu khác từ hoạt động kinh doanh,16,-,3.243.730,,16.0,,3243730.0
,,,Tiền chi khác cho hoạt động kinh doanh,17,(84.561.387.710),(64.794.211.118),,17.0,-84561387710.0,-64794211118.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,1.780.630.001.870,1.370.762.859.964,,20.0,1780630001870.0,1370762859964.0
II.,II.,II.,LU'U CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
1.,II. > 1.,1.,"Tiền chi mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,(272.862.033.943),(414.762.760.503),,21.0,-272862033943.0,-414762760503.0
2.,II. > 2.,2.,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,(3.290.000.000.000),(3.220.000.000.000),,23.0,-3290000000000.0,-3220000000000.0
3.,II. > 3.,3.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,2.990.000.000.000,3.720.000.000.000,,24.0,2990000000000.0,3720000000000.0
4.,II. > 4.,4.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,111.385.557.350,124.404.903.886,,27.0,111385557350.0,124404903886.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(461.476.476.593),209.642.143.383,,30.0,-461476476593.0,209642143383.0
