row_label_raw,row_label_full,col_0,Số đầu kỳ,Số đầu kỳ_1,Trong kỳ,Trong kỳ_1,Số cuối kỳ,Số cuối kỳ_1,numeric__Số đầu kỳ,numeric__Số đầu kỳ_1,numeric__Trong kỳ,numeric__Trong kỳ_1,numeric__Số cuối kỳ,numeric__Số cuối kỳ_1
,,,Giá trị,VND Số có khả năng trả nợ,Tăng,VND Giảm,Giá trị,VND Số có khả năng trả nợ,,,,,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,1.770.225.135.123,1.770.225.135.123,59.153.640.901,1.162.668.053.184,666.710.722.840,666.710.722.840,1770225135123.0,1770225135123.0,59153640901.0,1162668053184.0,666710722840.0,666710722840.0
"Nhóm các Ngân hàng BNP Paribas, Ngân hàng Credit Agricole và Ngân hàng Xuất nhập khẩu Trung Quốc","Nhóm các Ngân hàng BNP Paribas, Ngân hàng Credit Agricole và Ngân hàng Xuất nhập khẩu Trung Quốc","Nhóm các Ngân hàng BNP Paribas, Ngân hàng Credit Agricole và Ngân hàng Xuất nhập khẩu Trung Quốc",878.180.002.077,878.180.002.077,-,509.620.002.080,368.559.999.997,368.559.999.997,878180002077.0,878180002077.0,,509620002080.0,368559999997.0,368559999997.0
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,491.490.582.540,491.490.582.540,-,491.490.582.540,-,-,491490582540.0,491490582540.0,,491490582540.0,,
Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng TMCP Sài Gòn - Hà Nội,336.191.468.685,336.191.468.685,59.153.640.901,131.778.828.000,263.566.281.586,263.566.281.586,336191468685.0,336191468685.0,59153640901.0,131778828000.0,263566281586.0,263566281586.0
Ngân hàng TMCP Phát triển Nhà Thành phố Hồ Chí Minh - Chi nhánh Cà Mau,Ngân hàng TMCP Phát triển Nhà Thành phố Hồ Chí Minh - Chi nhánh Cà Mau,Ngân hàng TMCP Phát triển Nhà Thành phố Hồ Chí Minh - Chi nhánh Cà Mau,50.625.041.153,50.625.041.153,-,25.312.520.564,25.312.520.589,25.312.520.589,50625041153.0,50625041153.0,,25312520564.0,25312520589.0,25312520589.0
Ngân hàng TMCP Công thương Việt Nam - Chỉ nhánh Bạc Liêu,Ngân hàng TMCP Công thương Việt Nam - Chỉ nhánh Bạc Liêu,Ngân hàng TMCP Công thương Việt Nam - Chỉ nhánh Bạc Liêu,13.738.040.668,13.738.040.668,-,4.466.120.000,9.271.920.668,9.271.920.668,13738040668.0,13738040668.0,,4466120000.0,9271920668.0,9271920668.0
,,,1.770.225.135.123,1.770.225.135.123,59.153.640.901,1.162.668.053.184,666.710.722.840,666.710.722.840,1770225135123.0,1770225135123.0,59153640901.0,1162668053184.0,666710722840.0,666710722840.0
Trong đó:- Số phải trả trong vòng 12 tháng,Trong đó:- Số phải trả trong vòng 12 tháng,Trong đó:- Số phải trả trong vòng 12 tháng,1.141.752.639.882,,,,529.648.500.747,,1141752639882.0,,,,529648500747.0,
- Số phải trả sau 12 tháng,- Số phải trả sau 12 tháng,- Số phải trả sau 12 tháng,628.472.495.241,,,,137.062.222.093,,628472495241.0,,,,137062222093.0,
