row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Vốn khác của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Vốn khác của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,5.294.000.000.000,2.499.150.000,317.733.263.806,626.042.163.540,28.597.673.553,6.268.872.250.899,5294000000000.0,2499150000.0,317733263806.0,626042163540.0,28597673553.0,6268872250899.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,426.175.229.390,1.548.499.702,427.723.729.092,,,,426175229390.0,1548499702.0,427723729092.0
Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,-,-,34.805.022.835,(34.805.022.835),-,-,,,34805022835.0,-34805022835.0,,
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,(110.940.623.480),(1.301.188.632),(112.241.812.112),,,,-110940623480.0,-1301188632.0,-112241812112.0
Trích bổ sung quỹ khen thưởng phúc lợi,Trích bổ sung quỹ khen thưởng phúc lợi,Trích bổ sung quỹ khen thưởng phúc lợi,-,-,-,(111.270.000),-,(111.270.000),,,,-111270000.0,,-111270000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(476.460.000.000),(1.566.917.800),(478.026.917.800),,,,-476460000000.0,-1566917800.0,-478026917800.0
Tăng vốn từ Lợi nhuận sau thuế chưa phân phối,Tăng vốn từ Lợi nhuận sau thuế chưa phân phối,Tăng vốn từ Lợi nhuận sau thuế chưa phân phối,-,1.166.270.000,-,(1.166.270.000),-,-,,1166270000.0,,-1166270000.0,,
Tăng/(Giảm) khác,Tăng/(Giảm) khác,Tăng/(Giảm) khác,-,-,19.696,153.779,(173.475),-,,,19696.0,153779.0,-173475.0,
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,5.294.000.000.000,3.665.420.000,352.538.306.337,428.845.630.394,27.277.893.348,6.106.327.250.079,5294000000000.0,3665420000.0,352538306337.0,428845630394.0,27277893348.0,6106327250079.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,661.046.074.192,1.400.260.079,662.446.334.271,,,,661046074192.0,1400260079.0,662446334271.0
Trích Quỹ đầu tư phát triển (i),Trích Quỹ đầu tư phát triển (i),Trích Quỹ đầu tư phát triển (i),-,-,66.429.112.258,(66.429.112.258),-,-,,,66429112258.0,-66429112258.0,,
"Trích Quỹ khen thưởng, phúc lợi (i)","Trích Quỹ khen thưởng, phúc lợi (i)","Trích Quỹ khen thưởng, phúc lợi (i)",-,-,-,(122.670.431.407),(450.448.123),(123.120.879.530),,,,-122670431407.0,-450448123.0,-123120879530.0
"Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2019 (ii)","Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2019 (ii)","Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2019 (ii)",-,-,-,315.244.328,-,315.244.328,,,,315244328.0,,315244328.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(317.640.000.000),(1.880.279.200),(319.520.279.200),,,,-317640000000.0,-1880279200.0,-319520279200.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,5.294.000.000.000,3.665.420.000,418.967.418.595,583.467.405.249,26.347.426.104,6.326.447.669.948,5294000000000.0,3665420000.0,418967418595.0,583467405249.0,26347426104.0,6326447669948.0
