row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,Thiết bịvăn phòng,Phương tiện vậntải và thiết bịtruyền dẫn,Tài sản cố địnhhửu hình khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Thiết bịvăn phòng,numeric__Phương tiện vậntải và thiết bịtruyền dẫn,numeric__Tài sản cố địnhhửu hình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,3.515.657.958.943,10.484.719.549.525,75.140.958.899,67.799.159.789,59.369.973.815,14.202.687.600.971,3515657958943.0,10484719549525.0,75140958899.0,67799159789.0,59369973815.0,14202687600971.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,35.192.894.517,552.083.187,9.279.302.042,5.740.335.750,-,50.764.615.496,35192894517.0,552083187.0,9279302042.0,5740335750.0,,50764615496.0
Đầu tư xây dựng cơbản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơbản hoàn thành,Đầu tư xây dựng cơbản hoàn thành,2.729.674.678,15.805.904.083,473.000.000,-,-,19.008.578.761,2729674678.0,15805904083.0,473000000.0,,,19008578761.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,3.553.580.528.138,10.501.077.536.795,84.893.260.941,73.539.495.539,59.369.973.815,14.272.460.795.228,3553580528138.0,10501077536795.0,84893260941.0,73539495539.0,59369973815.0,14272460795228.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,2.253.808.552.710,6.688.534.035.590,53.521.965.978,54.065.011.307,18.270.468.129,9.068.200.033.714,2253808552710.0,6688534035590.0,53521965978.0,54065011307.0,18270468129.0,9068200033714.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,304.397.346.366,989.402.157.769,6.272.462.573,4.325.799.381,231.970.898,1.304.629.736.987,304397346366.0,989402157769.0,6272462573.0,4325799381.0,231970898.0,1304629736987.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,2.558.205.899.076,7.677.936.193.359,59.794.428.551,58.390.810.688,18.502.439.027,10.372.829.770.701,2558205899076.0,7677936193359.0,59794428551.0,58390810688.0,18502439027.0,10372829770701.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
