row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2025Đồng,Ngày 31 tháng 12năm 2024Đồng,numeric__Ngày 31 tháng 12năm 2025Đồng,numeric__Ngày 31 tháng 12năm 2024Đồng
USD,USD,USD,"26.290,00","25.303,00",26290.0,25303.0
EUR,EUR,EUR,"30.914,00","26.577,00",30914.0,26577.0
GBP,GBP,GBP,"35.369,50","31.968,00",35369.5,31968.0
CAD,CAD,CAD,"19.192,00","17.718,50",19192.0,17718.5
SGD,SGD,SGD,"20.504,50","18.755,00",20504.5,18755.0
AUD,AUD,AUD,"17.611,50","15.859,50",17611.5,15859.5
CHF,CHF,CHF,"33.146,50","28.165,50",33146.5,28165.5
JPY,JPY,JPY,"167,70","162,31",167.7,162.31
HKD,HKD,HKD,"3.378,00","3.279,50",3378.0,3279.5
KRW,KRW,KRW,"18,51","17,73",18.51,17.73
Vàng SJC (lương),Vàng SJC (lương),Vàng SJC (lương),"15.180.000,00","8.320.000,00",15180000.0,8320000.0
