row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng cộngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,410.919.754,285.095,411.204.849,410919754.0,285095.0,411204849.0
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,154.918.047,285.095,155.203.142,154918047.0,285095.0,155203142.0
Các công cụ tài chính phải sinh (Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh (Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh (Tổng giá trị giao dịch theo hợp đồng),16.942.363,-,16.942.363,16942363.0,,16942363.0
Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,197.607.593,-,197.607.593,197607593.0,,197607593.0
Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,655.482,-,655.482,655482.0,,655482.0
Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,40.072.258,-,40.072.258,40072258.0,,40072258.0
"Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",724.011,-,724.011,724011.0,,724011.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,368.285.496,2.780.168,371.065.664,368285496.0,2780168.0,371065664.0
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,156.784.406,368.060,157.152.466,156784406.0,368060.0,157152466.0
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,178.192.750,-,178.192.750,178192750.0,,178192750.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",250,2.412.108,2.412.358,250.0,2412108.0,2412358.0
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,33.308.090,-,33.308.090,33308090.0,,33308090.0
Cam kết ngoại bảng tại ngày 31 tháng 12 năm 2025,Cam kết ngoại bảng tại ngày 31 tháng 12 năm 2025,Cam kết ngoại bảng tại ngày 31 tháng 12 năm 2025,43.341.733,-,43.341.733,43341733.0,,43341733.0
