row_label_raw,row_label_full,col_0,Phương tiện vận tảiTriệu đồng,numeric__Phương tiện vận tảiTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,156.859,156859.0
Chuyển sang tài sản cố định hữu hình,Nguyên giá > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(32.200),-32200.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,124.659,124659.0
Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,
Số dư đầu năm,Giá trị khấu hao luỹ kế > Số dư đầu năm,Số dư đầu năm,79.173,79173.0
Khấu hao trong năm,Giá trị khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,23.363,23363.0
Chuyển sang tài sản cố định hữu hình,Giá trị khấu hao luỹ kế > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(28.311),-28311.0
Số dư cuối năm,Giá trị khấu hao luỹ kế > Số dư cuối năm,Số dư cuối năm,74.225,74225.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,77.686,77686.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,50.434,50434.0
