row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Không chịu lãiTriệu đồng,Đến 1 thángTriệu đồng,Từ 1 - 3 thángTriệu đồng,Từ 3 - 6 thángTriệu đồng,Từ 6 - 12 thángTriệu đồng,Từ 1 - 5 nămTriệu đồng,Trên 5 nămTriệu đồng,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Không chịu lãiTriệu đồng,numeric__Đến 1 thángTriệu đồng,numeric__Từ 1 - 3 thángTriệu đồng,numeric__Từ 3 - 6 thángTriệu đồng,numeric__Từ 6 - 12 thángTriệu đồng,numeric__Từ 1 - 5 nămTriệu đồng,numeric__Trên 5 nămTriệu đồng,numeric__Tổng cộngTriệu đồng
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,,
Tiền mặt và vàng,Tải sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.231.315,-,-,-,-,-,-,1.231.315,,1231315.0,,,,,,,1231315.0
Tiền gửi tại NHNN Việt Nam,Tải sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,13.719.544,-,-,-,-,-,-,13.719.544,,13719544.0,,,,,,,13719544.0
Tiền gửi tại và cho vay các TCTD khác,Tải sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,289.885,125.697.763,28.580.100,635.394,-,-,-,155.203.142,,289885.0,125697763.0,28580100.0,635394.0,,,,155203142.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tải sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,21.781,-,-,-,-,-,-,21.781,,21781.0,,,,,,,21781.0
Cho vay khách hàng - gộp,Tải sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,6.847.918,-,80.080.011,71.849.398,25.126.717,3.434.196,10.171.353,98.000,197.607.593,6847918.0,,80080011.0,71849398.0,25126717.0,3434196.0,10171353.0,98000.0,197607593.0
Hoạt động mua nợ - gộp,Tải sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,655.482,-,-,-,-,-,-,-,655.482,655482.0,,,,,,,,655482.0
Chứng khoán đầu tư - gộp,Tải sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,127.765,8.479.197,4.352.788,7.669.326,19.212.855,230.327,-,40.072.258,,127765.0,8479197.0,4352788.0,7669326.0,19212855.0,230327.0,,40072258.0
"Góp vốn, đầu tư dài hạn - gộp","Tải sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,724.011,-,-,-,-,-,-,724.011,,724011.0,,,,,,,724011.0
Tài sản cố định,Tải sản > Tài sản cố định,Tài sản cố định,-,2.366.257,-,-,-,-,-,-,2.366.257,,2366257.0,,,,,,,2366257.0
