row_label_raw,row_label_full,Họ và tên,Chức vụ,numeric__Chức vụ
Ông Trần Khải Hoàn,Ông Trần Khải Hoàn,Ông Trần Khải Hoàn,Quyền Tổng Giám đốc,
Ông Hoàng Việt Cường,Ông Hoàng Việt Cường,Ông Hoàng Việt Cường,Phó Tổng Giám đốc,
Ông Hà Huy Cường,Ông Hà Huy Cường,Ông Hà Huy Cường,Phó Tổng Giám đốc,
Ông Lê Anh Tú,Ông Lê Anh Tú,Ông Lê Anh Tú,Phó Tổng Giám đốc,
Ông Nguyễn Vĩnh Tuyên,Ông Nguyễn Vĩnh Tuyên,Ông Nguyễn Vĩnh Tuyên,Phó Tổng Giám đốc,
Ông Võ Hoàng Hải,Ông Võ Hoàng Hải,Ông Võ Hoàng Hải,Phó Tổng Giám đốc,
Bà Hồ Nguyễn Thủy Vy,Bà Hồ Nguyễn Thủy Vy,Bà Hồ Nguyễn Thủy Vy,Phó Tổng Giám đốc,
Ông Huỳnh Thanh Phong,Ông Huỳnh Thanh Phong,Ông Huỳnh Thanh Phong,Phó Tổng Giám đốc,
Ông Nguyễn Minh Tuân,Ông Nguyễn Minh Tuân,Ông Nguyễn Minh Tuân,Phó Tổng Giám đốc,
Bà Lâm Kim Khôi,Bà Lâm Kim Khôi,Bà Lâm Kim Khôi,Phó Tổng Giám đốc,
Ông Hoàng Hải Vương,Ông Hoàng Hải Vương,Ông Hoàng Hải Vương,Phó Tổng Giám đốc (từ ngày 11 tháng 9 năm 2025),
Bà Nguyễn Thị Mỹ Lan,Bà Nguyễn Thị Mỹ Lan,Bà Nguyễn Thị Mỹ Lan,Giám đốc Khối Tài chính kiểm Kế toán Trường,
