row_label_raw,row_label_full,Các khoản nợ Chính phủ và NHNN Việt Nam,15,18.028.593,2.577.611,numeric__15,numeric__18.028.593,numeric__2.577.611
"Tiền gửi và vay Chính phủ, NHNN","Tiền gửi và vay Chính phủ, NHNN","Tiền gửi và vay Chính phủ, NHNN",,18.028.593,2.577.611,,18028593.0,2577611.0
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,,157.152.466,39.195.158,,157152466.0,39195158.0
Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,16.1,154.419.063,37.715.294,161.0,154419063.0,37715294.0
Vay các TCTD khác,Vay các TCTD khác,Vay các TCTD khác,16.2,2.733.403,1.479.864,162.0,2733403.0,1479864.0
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,17,178.192.750,158.831.511,17.0,178192750.0,158831511.0
Các công cụ tài chính phải sinh và nợ phải trả khác,Các công cụ tài chính phải sinh và nợ phải trả khác,Các công cụ tài chính phải sinh và nợ phải trả khác,7,-,6.768,7.0,,6768.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",18,2.412.358,1.076.174,18.0,2412358.0,1076174.0
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,19,33.308.090,20.006.940,19.0,33308090.0,20006940.0
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,,6.184.768,4.638.765,,6184768.0,4638765.0
"Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",20.1,4.675.602,3.396.127,201.0,4675602.0,3396127.0
Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,20.2,1.509.166,1.242.638,202.0,1509166.0,1242638.0
TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,395.279.025,226.332.927,,395279025.0,226332927.0
