row_label_raw,row_label_full,col_0,Miền Bắc Triệu đồng,Miền Trung Triệu đồng,Miền Nam Triệu đồng,Tổng bộ phận đã báo cáo Triệu đồng,Loại trừ Triệu đồng,Tổng cộng Triệu đồng,numeric__Miền Bắc Triệu đồng,numeric__Miền Trung Triệu đồng,numeric__Miền Nam Triệu đồng,numeric__Tổng bộ phận đã báo cáo Triệu đồng,numeric__Loại trừ Triệu đồng,numeric__Tổng cộng Triệu đồng
Doanh thu,Doanh thu,Doanh thu,4.143.907,3.834.135,46.196.535,54.174.577,(28.541.499),25.633.078,4143907.0,3834135.0,46196535.0,54174577.0,-28541499.0,25633078.0
Doanh thu lãi,Doanh thu lãi,Doanh thu lãi,4.071.571,3.704.804,43.121.502,50.897.877,(28.541.499),22.356.378,4071571.0,3704804.0,43121502.0,50897877.0,-28541499.0,22356378.0
Doanh thu từ hoạt động dịch vụ,Doanh thu từ hoạt động dịch vụ,Doanh thu từ hoạt động dịch vụ,40.481,121.841,567.688,730.010,-,730.010,40481.0,121841.0,567688.0,730010.0,,730010.0
Doanh thu từ hoạt động kinh doanh khác,Doanh thu từ hoạt động kinh doanh khác,Doanh thu từ hoạt động kinh doanh khác,31.855,7.490,2.507.345,2.546.690,-,2.546.690,31855.0,7490.0,2507345.0,2546690.0,,2546690.0
Chi phí,Chi phí,Chi phí,(3.716.214),(3.307.025),(39.436.427),(46.459.666),28.541.499,(17.918.167),-3716214.0,-3307025.0,-39436427.0,-46459666.0,28541499.0,-17918167.0
Chi phí lãi,Chi phí lãi,Chi phí lãi,(3.234.158),(2.788.775),(36.325.854),(42.348.787),28.541.499,(13.807.288),-3234158.0,-2788775.0,-36325854.0,-42348787.0,28541499.0,-13807288.0
Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,(27.355),(25.815),(172.566),(225.736),-,(225.736),-27355.0,-25815.0,-172566.0,-225736.0,,-225736.0
Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(454.701),(492.435),(2.938.007),(3.885.143),-,(3.885.143),-454701.0,-492435.0,-2938007.0,-3885143.0,,-3885143.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,427.693,527.110,6.760.108,7.714.911,-,7.714.911,427693.0,527110.0,6760108.0,7714911.0,,7714911.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(47.368),(20.147),(2.395.811),(2.463.326),-,(2.463.326),-47368.0,-20147.0,-2395811.0,-2463326.0,,-2463326.0
Kết quả kinh doanh trước thuế,Kết quả kinh doanh trước thuế,Kết quả kinh doanh trước thuế,380.325,506.963,4.364.297,5.251.585,-,5.251.585,380325.0,506963.0,4364297.0,5251585.0,,5251585.0
