row_label_raw,row_label_full,Thuyết minh,Năm nay Triệu đồng,Năm trước Triệu đồng,numeric__Năm nay Triệu đồng,numeric__Năm trước Triệu đồng
,,,18.387.579(12.559.689)611.466,16.460.414(10.394.690)586.570,,
,,,284.625(36.718),122.507(41.145),,
29,29,29,2.092.776(3.792.706),465.822(3.627.501),,
21,29 > 21,21,(796.498),(949.364),-796498.0,-949364.0
,,,4.190.835,2.622.613,4190835.0,2622613.0
,,,(759.394)(19.215.607),1.500.0003.230.971,,15000003230971.0
,,,(21.781)(30.525.077),39.455(26.299.556),,
,,,(2.242.525)(488.147),(3.944)71.868,,
,,,15.450.982117.975.61219.361.23913.301.1501.336.184,2.577.26615.195.08213.220.4761.548.0729.709,1.5450982117975614e+39,2.5772661519508212e+33
,,,(6.768)137.537,6.768(308.931),,
,,,118.494.240,13.409.849,118494240.0,13409849.0
,,,(700.583),(668.919),-700583.0,-668919.0
29,29,29,1.504-,1.191(152.717),,
,,,-,3.506,,3506.0
30,29 > 30,30,8.401,6.414,8401.0,6414.0
,,,(690.678),(810.525),-690678.0,-810525.0
