row_label_raw,row_label_full,col_0,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,numeric__Số cuối nămTriệu đồng,numeric__Số đầu nămTriệu đồng
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,6.502.759,3.658.967,6502759.0,3658967.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,32.955.256,8.075.790,32955256.0,8075790.0
- Cam kết giao dịch hoán đổi,- Cam kết giao dịch hoán đổi,- Cam kết giao dịch hoán đổi,31.903.656,8.075.790,31903656.0,8075790.0
- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,341.770,-,341770.0,
- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,709.830,-,709830.0,
Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,211.585,549.881,211585.0,549881.0
- Thư tín dụng trả chậm,- Thư tín dụng trả chậm,- Thư tín dụng trả chậm,187.292,549.881,187292.0,549881.0
- Thư tín dụng trả ngay,- Thư tín dụng trả ngay,- Thư tín dụng trả ngay,24.293,-,24293.0,
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,3.619.714,3.669.698,3619714.0,3669698.0
- Cam kết bảo lãnh thanh toán,- Cam kết bảo lãnh thanh toán,- Cam kết bảo lãnh thanh toán,1.252.704,620.517,1252704.0,620517.0
- Cam kết bảo lãnh thực hiện hợp đồng,- Cam kết bảo lãnh thực hiện hợp đồng,- Cam kết bảo lãnh thực hiện hợp đồng,231.092,190.387,231092.0,190387.0
- Cam kết bảo lãnh dự thầu,- Cam kết bảo lãnh dự thầu,- Cam kết bảo lãnh dự thầu,103.373,13.858,103373.0,13858.0
- Cam kết bảo lãnh khác,- Cam kết bảo lãnh khác,- Cam kết bảo lãnh khác,2.032.545,2.844.936,2032545.0,2844936.0
Cam kết khác,Cam kết khác,Cam kết khác,81.882,149.669,81882.0,149669.0
,,,43.371.196,16.104.005,43371196.0,16104005.0
Trừ: Tiền ký quỹ,Trừ: Tiền ký quỹ,Trừ: Tiền ký quỹ,(29.463),(13.448),-29463.0,-13448.0
Nghĩa vụ nợ tiềm ản và các cam kết đưa ra,Nghĩa vụ nợ tiềm ản và các cam kết đưa ra,Nghĩa vụ nợ tiềm ản và các cam kết đưa ra,43.341.733,16.090.557,43341733.0,16090557.0
