row_label_raw,row_label_full,col_0,Supplement capitalreserveVND,FinancialreserveVND,Other reservesVND,TotalVND,numeric__Supplement capitalreserveVND,numeric__FinancialreserveVND,numeric__Other reservesVND,numeric__TotalVND
Balance at 1January 2025,Balance at 1January 2025,Balance at 1January 2025,"662,488,211,467","2,560,763,862,811","374,056,888","3,223,626,131,166",,,,
Utilised for the year,Utilised for the year,Utilised for the year,"(662,488,211,467)",,-,"(662,488,211,467)",,,,
Appropriation forthe year,Appropriation forthe year,Appropriation forthe year,"401,009,728,011","360,908,755,209",-,"761,918,483,220",,,,
Balance at 31December 2025,Balance at 31December 2025,Balance at 31December 2025,"401,009,728,011","2,921,672,618,020","374,056,888","3,323,056,402,919",,,,
Balance at 1January 2024,Balance at 1January 2024,Balance at 1January 2024,"345,053,408,131","2,243,329,059,475","374,056,888","2,588,756,524,494",,,,
Appropriation forthe year,Appropriation forthe year,Appropriation forthe year,"317,434,803,336","317,434,803,336",-,"634,869,606,672",,,,
Balance at 31December 2024,Balance at 31December 2024,Balance at 31December 2024,"662,488,211,467","2,560,763,862,811","374,056,888","3,223,626,131,166",,,,
