row_label_raw,row_label_full,col_0,The South VND,The North VND,The Central VND,Eliminations VND,Total VND,numeric__The South VND,numeric__The North VND,numeric__The Central VND,numeric__Eliminations VND,numeric__Total VND
Year ended 31 December 2024,Year ended 31 December 2024,Year ended 31 December 2024,Year ended 31 December 2024,Year ended 31 December 2024,Year ended 31 December 2024,Year ended 31 December 2024,Year ended 31 December 2024,,,,,
"I, Income","I, Income","I, Income","I, Income","I, Income","I, Income","I, Income","I, Income",,,,,
1. Interest income,1. Interest income,1. Interest income,"37,998,496,255,528","4,065,642,944,221","2,713,957,203,527","(26,823,883,390,040)","17,954,213,013,236",,,,,
Interest income from external,Interest income from external,Interest income from external,"13,347,569,040,754","2,693,386,456,856","1,913,257,515,626",-,"17,954,213,013,236",,,,,
Interest income from internal,Interest income from internal,Interest income from internal,"24,650,927,214,774","1,372,256,487,365","800,699,687,901","(26,823,883,390,040)",-,,,,,
2. Fee and commission revenue,Interest income from internal > 2. Fee and commission revenue,2. Fee and commission revenue,"948,426,331,779","65,826,913,311","59,211,732,992","(260,000)","1,073,464,718,082",,,,-260.0,
3. Other income,3. Other income,3. Other income,"2,371,979,396,171","231,661,837,903","153,761,202,749","(755,712,371,425)","2,001,690,065,398",,,,,
TOTAL OPERATING INCOME,TOTAL OPERATING INCOME,TOTAL OPERATING INCOME,"41,318,901,983,478","4,363,131,695,435","2,926,930,139,268","(27,579,596,021,465)","21,029,367,796,716",,,,,
"II, Expense","II, Expense","II, Expense","II, Expense","II, Expense","II, Expense","II, Expense","II, Expense",,,,,
1. Interest expense,1. Interest expense,1. Interest expense,"(31,228,617,349,845)","(3,024,952,063,972)","(1,917,858,317,966)","26,823,883,390,040","(9,347,544,341,743)",,,,,
Interest expense from external,Interest expense from external,Interest expense from external,"(7,644,706,614,486)","(1,081,075,025,791)","(621,762,701,466)",-,"(9,347,544,341,743)",,,,,
Interest expense from internal,Interest expense from internal,Interest expense from internal,"(23,583,910,735,359)","(1,943,877,038,181)","(1,296,095,616,500)","26,823,883,390,040",-,,,,,
2. Depreciation and amortisation expenses,2. Depreciation and amortisation expenses,2. Depreciation and amortisation expenses,"(103,769,319,451)","(8,882,271,084)","(8,908,173,428)",-,"(121,559,763,963)",,,,,
3. Operating expenses,3. Operating expenses,3. Operating expenses,"(5,084,604,884,417)","(537,008,025,858)","(427,969,136,402)","754,640,615,629","(5,294,941,431,048)",,,,,
TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES,"(36,416,991,553,713)","(3,570,842,360,914)","(2,354,735,627,796)","27,578,524,005,669","(14,764,045,536,754)",,,,,
Profit before allowance expenses for credit losses,Profit before allowance expenses for credit losses,Profit before allowance expenses for credit losses,"4,901,910,429,765","792,289,334,521","572,194,511,472","(1,072,015,796)","6,265,322,259,962",,,,,
Allowance expenses for credit losses,Allowance expenses for credit losses,Allowance expenses for credit losses,"(1,757,501,460,339)","(332,950,110,953)","(168,574,749,489)",-,"(2,259,026,320,781)",,,,,
Segment profit,Segment profit,Segment profit,"3,144,408,969,426","459,339,223,568","403,619,761,983","(1,072,015,796)","4,006,295,939,181",,,,,
