row_label_raw,row_label_full,Tên công ty,Giấy Chứng nhận Đăng ký Kinh doanh,Lĩnh vực kinh doanh,Tỷ lệ sở hữu và quyền biểu quyết,Tỷ lệ sở hữu và quyền biểu quyết_1,numeric__Giấy Chứng nhận Đăng ký Kinh doanh,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ sở hữu và quyền biểu quyết,numeric__Tỷ lệ sở hữu và quyền biểu quyết_1
Tên công ty,Tên công ty,Tên công ty,Giấy Chứng nhận Đăng ký Kinh doanh,Lĩnh vực kinh doanh,31/12/2025,31/12/2024,,,,
Công ty TNHH MTV Chuyển tiền Quốc tế Ngân hàng Thương mại Phương Đông,Tên công ty > Công ty TNHH MTV Chuyển tiền Quốc tế Ngân hàng Thương mại Phương Đông,Công ty TNHH MTV Chuyển tiền Quốc tế Ngân hàng Thương mại Phương Đông,Số 0314327542 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp ngày 3 tháng 4 năm 2017,"Dịch vụ nhận và chi, trả ngoại tệ",100%,100%,,,1.0,1.0
Công ty TNHH MTV Quản lý nợ và Khai thác tài sản Ngân hàng Phương Đông,Tên công ty > Công ty TNHH MTV Quản lý nợ và Khai thác tài sản Ngân hàng Phương Đông,Công ty TNHH MTV Quản lý nợ và Khai thác tài sản Ngân hàng Phương Đông,Số 0318933777 do Sở Tài chính Thành phố Hồ Chí Minh cấp ngày 28 tháng 4 năm 2025,Quản lý nợ tồn động và xử lý tài sản bảo đảm,100%,-,,,1.0,
