row_label_raw,row_label_full,col_0,Thay đổi lãi suất,Ảnh hưởng đến kết quả thu nhập lãi thuần Tăng/(giảm) VND,numeric__Thay đổi lãi suất,numeric__Ảnh hưởng đến kết quả thu nhập lãi thuần Tăng/(giảm) VND
Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,,
VND,Ngày 31 tháng 12 năm 2025 > VND,VND,"0,20%",(40.684.379.469),0.002,-40684379469.0
VND,Ngày 31 tháng 12 năm 2025 > VND,VND,"(0,20%)",40.684.379.469,,40684379469.0
USD,Ngày 31 tháng 12 năm 2025 > USD,USD,"0,20%",14.316.623.601,0.002,14316623601.0
USD,Ngày 31 tháng 12 năm 2025 > USD,USD,"(0,20%)",(14.316.623.601),,-14316623601.0
Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,,
VND,Ngày 31 tháng 12 năm 2024 > VND,VND,"0,20%",(22.101.928.454),0.002,-22101928454.0
VND,Ngày 31 tháng 12 năm 2024 > VND,VND,"(0,20%)",22.101.928.454,,22101928454.0
USD,Ngày 31 tháng 12 năm 2024 > USD,USD,"0,20%",2.459.292.765,0.002,2459292765.0
USD,Ngày 31 tháng 12 năm 2024 > USD,USD,"(0,20%)",(2.459.292.765),,-2459292765.0
