row_label_raw,row_label_full,Year ended31 December 2025,Opening balance > PayablesVND,Opening balance > ReceivablesVND,Movements during the year > IncurredVND,Movements during the year > PaidVND,Closing balance > PayablesVND,Closing balance > ReceivablesVND,numeric__Opening balance > PayablesVND,numeric__Opening balance > ReceivablesVND,numeric__Movements during the year > IncurredVND,numeric__Movements during the year > PaidVND,numeric__Closing balance > PayablesVND,numeric__Closing balance > ReceivablesVND
Value added tax,Value added tax,Value added tax,"42,237,381,703","37,648,160,619","119,311,141,499","(80,873,305,571)","57,301,882,662","14,274,825,650",,,,,,
Corporate income tax,Corporate income tax,Corporate income tax,"302,807,704,094","4,863,168,144","1,021,508,812,227","(700,602,138,351)","618,972,393,070","121,183,244",,,,,,
Personal income tax,Personal income tax,Personal income tax,"12,031,606,770",-,"210,389,908,249","(209,510,809,223)","12,910,705,796",-,,,,,,
Foreign contractor tax,Foreign contractor tax,Foreign contractor tax,"1,223,395,104",-,"15,598,968,806","(14,849,961,293)","1,972,402,617",-,,,,,,
Land and housing tax,Land and housing tax,Land and housing tax,-,-,"489,731,807","(489,731,807)",-,-,,,,,,
Other taxes,Other taxes,Other taxes,-,-,"179,000,000","(179,000,000)",-,-,,,,,,
,,,"358,300,087,671","42,511,328,763","1,367,477,562,588","(1,006,504,946,245)","691,157,384,145","14,396,008,894",,,,,,
Year ended31 December 2024,Year ended31 December 2024,Year ended31 December 2024,Opening balance,Opening balance,Movements during the year,Movements during the year,Closing balance,Closing balance,,,,,,
Year ended31 December 2024,Year ended31 December 2024,Year ended31 December 2024,PayablesVND,ReceivablesVND,IncurredVND,PaidVND,PayablesVND,ReceivablesVND,,,,,,
Value added tax,Value added tax,Value added tax,"68,546,123,446","116,569,579","92,321,435,338","(156,161,768,121)","42,237,381,703","37,648,160,619",,,,,,
Corporate income tax,Corporate income tax,Corporate income tax,"318,076,067,522","191,800,783","832,872,712,413","(852,812,443,202)","302,807,704,094","4,863,168,144",,,,,,
Personal income tax,Personal income tax,Personal income tax,"9,859,315,404",-,"161,762,996,787","(159,590,705,421)","12,031,606,770",-,,,,,,
Foreign contractor tax,Foreign contractor tax,Foreign contractor tax,"1,026,320,497",-,"13,522,706,070","(13,325,631,463)","1,223,395,104",-,,,,,,
Land and housing tax,Land and housing tax,Land and housing tax,-,-,"732,287,023","(732,287,023)",-,-,,,,,,
Other taxes,Other taxes,Other taxes,-,-,"174,000,000","(174,000,000)",-,-,,,,,,
,,,"397,507,826,869","308,370,362","1,101,386,137,631","(1,182,796,835,230)","358,300,087,671","42,511,328,763",,,,,,
