row_label_raw,row_label_full,col_0,The South VND,The North VND,The Central VND,Eliminations VND,Total VND,numeric__The South VND,numeric__The North VND,numeric__The Central VND,numeric__Eliminations VND,numeric__Total VND
As at 31 December 2025,As at 31 December 2025,As at 31 December 2025,As at 31 December 2025,As at 31 December 2025,As at 31 December 2025,As at 31 December 2025,As at 31 December 2025,,,,,
III. Assets,III. Assets,III. Assets,III. Assets,III. Assets,III. Assets,III. Assets,III. Assets,,,,,
1. Cash and gold,1. Cash and gold,1. Cash and gold,"713,354,734,571","295,057,321,262","151,941,481,279",-,"1,160,353,537,112",,,,,
2. Fixed assets,2. Fixed assets,2. Fixed assets,"572,500,734,050","37,774,828,911","83,865,787,872",-,"694,141,350,833",,,,,
3. Other assets,3. Other assets,3. Other assets,"270,549,403,529,115","31,220,203,029,855","20,378,018,205,784","(1,052,640,085,586)","321,094,984,679,168",,,,,
TOTAL ASSETS,TOTAL ASSETS,TOTAL ASSETS,"271,835,258,997,736","31,553,035,180,028","20,613,825,474,935","(1,052,640,085,586)","322,949,479,567,113",,,,,
IV. Liabilities,IV. Liabilities,IV. Liabilities,IV. Liabilities,IV. Liabilities,IV. Liabilities,IV. Liabilities,IV. Liabilities,,,,,
1. External liabilities,1. External liabilities,1. External liabilities,"(239,636,383,505,606)","(29,877,112,553,305)","(19,840,076,704,989)","527,646,202,294","(288,825,926,561,606)",,,,,
2. Internal liabilities,2. Internal liabilities,2. Internal liabilities,"(10,687,551,471)",-,-,-,"(10,687,551,471)",,,,,
3. Other liabilities,3. Other liabilities,3. Other liabilities,"(188,187,569,445)",-,-,-,"(188,187,569,445)",,,,,
TOTAL LIABILITIES,TOTAL LIABILITIES,TOTAL LIABILITIES,"(239,835,258,626,522)","(29,877,112,553,305)","(19,840,076,704,989)","527,646,202,294","(289,024,801,682,522)",,,,,
