row_label_raw,row_label_full,col_0,31/12/2025% per annum,31/12/2024% per annum,numeric__31/12/2025% per annum,numeric__31/12/2024% per annum
In VND,In VND,In VND,1.25 - 25.00,1.00 - 23.30,,
In foreign currencies,In foreign currencies,In foreign currencies,4.10 - 7.95,5.30 - 8.90,,
