row_label_raw,row_label_full,As at 31 December 2025,EURVND equivalent,USDVND equivalent,GoldVND equivalent,Other foreign currenciesVND equivalent,TotalVND equivalent,numeric__EURVND equivalent,numeric__USDVND equivalent,numeric__GoldVND equivalent,numeric__Other foreign currenciesVND equivalent,numeric__TotalVND equivalent
Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,,,,,
Cash on hand and gold,Cash on hand and gold,Cash on hand and gold,"150,582,945,203","98,968,202,108","60,720,000","46,506,613,401","296,118,480,712",,,,,
Balances with the SBV,Balances with the SBV,Balances with the SBV,-,"79,544,141,552",-,-,"79,544,141,552",,,,,
Deposits with and loans to other CIs,Deposits with and loans to other CIs,Deposits with and loans to other CIs,"18,037,468,720","3,666,054,077,672",-,"129,294,960,827","3,813,386,507,219",,,,,
Derivatives and other financial assets,Derivatives and other financial assets,Derivatives and other financial assets,"(139,855,500,000)","6,543,472,371,359",-,-,"6,403,616,871,359",,,,,
Loans and advances to customers – gross,Loans and advances to customers – gross,Loans and advances to customers – gross,-,"1,619,987,622,519",-,-,"1,619,987,622,519",,,,,
Other assets – gross,Other assets – gross,Other assets – gross,"3,309,914","242,746,886,867",-,-,"242,750,196,781",,,,,
Total assets (1),Total assets (1),Total assets (1),"28,768,223,837","12,250,773,302,077","60,720,000","175,801,574,228","12,455,403,820,142",,,,,
Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,,,,,
Deposits and borrowings from other CIs,Deposits and borrowings from other CIs,Deposits and borrowings from other CIs,-,"3,179,093,500,000",-,-,"3,179,093,500,000",,,,,
Deposits from customers,Deposits from customers,Deposits from customers,"26,732,265,023","1,925,287,849,838",-,"149,020,267,751","2,101,040,382,612",,,,,
"Grants, entrusted funds and loans exposed to risks","Grants, entrusted funds and loans exposed to risks","Grants, entrusted funds and loans exposed to risks",-,"6,143,060,948,485",-,-,"6,143,060,948,485",,,,,
Other liabilities – gross,Other liabilities – gross,Other liabilities – gross,"1,621,640,936","617,350,111,004","20,104,392","8,895,379,041","627,887,235,373",,,,,
Total liabilities (2),Total liabilities (2),Total liabilities (2),"28,353,905,959","11,864,792,409,327","20,104,392","157,915,646,792","12,051,082,066,470",,,,,
Foreign exchange position on-balance-sheet [(3)=(1)-(2)],Foreign exchange position on-balance-sheet [(3)=(1)-(2)],Foreign exchange position on-balance-sheet [(3)=(1)-(2)],"414,317,878","385,980,892,750","40,615,608","17,885,927,436","404,321,753,672",,,,,
Foreign exchange position off-balance-sheet (4),Foreign exchange position off-balance-sheet (4),Foreign exchange position off-balance-sheet (4),-,"2,368,128,817,890",-,"(3,529,800,000)","2,364,599,017,890",,,,,
Foreign exchange position on and off-balance-sheet [(5)=(3)+(4)],Foreign exchange position on and off-balance-sheet [(5)=(3)+(4)],Foreign exchange position on and off-balance-sheet [(5)=(3)+(4)],"414,317,878","2,754,109,710,640","40,615,608","14,356,127,436","2,768,920,771,562",,,,,
