row_label_raw,row_label_full,col_0,31/12/2025 Shares,31/12/2024 Shares (restated) (*),31/12/2024 Shares (as previous reported),numeric__31/12/2025 Shares,numeric__31/12/2024 Shares (restated) (*),numeric__31/12/2024 Shares (as previous reported)
Number of ordinary shares issued in the previous year carried forward,Number of ordinary shares issued in the previous year carried forward,Number of ordinary shares issued in the previous year carried forward,"2,465,789,152","2,465,789,152","2,465,789,152",,,
Impact of bonus share issuance in 2025,Impact of bonus share issuance in 2025,Impact of bonus share issuance in 2025,"197,263,132","197,263,132",-,,,
Weighted average number of ordinary shares during the year,Weighted average number of ordinary shares during the year,Weighted average number of ordinary shares during the year,"2,663,052,284","2,663,052,284","2,465,789,152",,,
