row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Khu vực Miền Nam VND > Tại ngày 31 tháng 12 năm 2024,Khu vực Miền Bắc VND > Tại ngày 31 tháng 12 năm 2024,Khu vực Miền Trung VND > Tại ngày 31 tháng 12 năm 2024,Loại trừ VND > Tại ngày 31 tháng 12 năm 2024,Tổng cộng VND > Tại ngày 31 tháng 12 năm 2024,numeric__Khu vực Miền Nam VND > Tại ngày 31 tháng 12 năm 2024,numeric__Khu vực Miền Bắc VND > Tại ngày 31 tháng 12 năm 2024,numeric__Khu vực Miền Trung VND > Tại ngày 31 tháng 12 năm 2024,numeric__Loại trừ VND > Tại ngày 31 tháng 12 năm 2024,numeric__Tổng cộng VND > Tại ngày 31 tháng 12 năm 2024
III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,,,,,
1. Tiền mặt và vàng,III. Tài sản > 1. Tiền mặt và vàng,1. Tiền mặt và vàng,474.093.945.174,170.345.995.129,143.333.831.523,-,787.773.771.826,474093945174.0,170345995129.0,143333831523.0,,787773771826.0
2. Tài sản cố định,III. Tài sản > 2. Tài sản cố định,2. Tài sản cố định,497.884.821.578,38.026.165.070,94.595.641.831,-,630.506.628.479,497884821578.0,38026165070.0,94595641831.0,,630506628479.0
3. Tài sản khác,III. Tài sản > 3. Tài sản khác,3. Tài sản khác,229.713.784.216.332,28.084.740.392.492,17.319.234.072.850,(49.184.555.718),275.068.574.125.956,229713784216332.0,28084740392492.0,17319234072850.0,-49184555718.0,275068574125956.0
TỔNG TÀI SẢN,III. Tài sản > TỔNG TÀI SẢN,TỔNG TÀI SẢN,230.685.762.983.084,28.293.112.552.691,17.557.163.546.204,(49.184.555.718),276.486.854.526.261,230685762983084.0,28293112552691.0,17557163546204.0,-49184555718.0,276486854526261.0
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,,,,,
1. Nợ phải trả khách hàng bên ngoài,IV. Nợ phải trả > 1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,(199.679.692.508.853),(27.833.773.329.123),(17.153.543.784.221),24.205.618.093,(244.642.804.004.104),-199679692508853.0,-27833773329123.0,-17153543784221.0,24205618093.0,-244642804004104.0
2. Nợ phải trả nội bộ,IV. Nợ phải trả > 2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,(9.670.775.746),-,-,-,(9.670.775.746),-9670775746.0,,,,-9670775746.0
3. Nợ phải trả khác,IV. Nợ phải trả > 3. Nợ phải trả khác,3. Nợ phải trả khác,(163.334.313.087),-,-,-,(163.334.313.087),-163334313087.0,,,,-163334313087.0
TỔNG NỘ PHẢI TRẢ,IV. Nợ phải trả > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,(199.852.697.597.686),(27.833.773.329.123),(17.153.543.784.221),24.205.618.093,(244.815.809.092.937),-199852697597686.0,-27833773329123.0,-17153543784221.0,24205618093.0,-244815809092937.0
