row_label_raw,row_label_full,col_0,Change in interest rate,Effect to net interest income Increase/(decrease) VND,numeric__Change in interest rate,numeric__Effect to net interest income Increase/(decrease) VND
As at 31 December 2025,As at 31 December 2025,As at 31 December 2025,As at 31 December 2025,As at 31 December 2025,,
VND,As at 31 December 2025 > VND,VND,0.20%,"(40,684,379,469)",0.2,
VND,VND,VND,(0.20%),"40,684,379,469",,
USD,VND > USD,USD,0.20%,"14,316,623,601",0.2,
USD,USD,USD,(0.20%),"(14,316,623,601)",,
As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,,
VND,As at 31 December 2024 > VND,VND,0.20%,"(22,101,928,454)",0.2,
VND,VND,VND,(0.20%),"22,101,928,454",,
USD,VND > USD,USD,0.20%,"2,459,292,765",0.2,
USD,USD,USD,(0.20%),"(2,459,292,765)",,
