row_label_raw,row_label_full,col_0,31/12/2025% per annum,31/12/2024% per annum,numeric__31/12/2025% per annum,numeric__31/12/2024% per annum
"Grants, entrusted funds received and loans exposed to risks","Grants, entrusted funds received and loans exposed to risks","Grants, entrusted funds received and loans exposed to risks","Grants, entrusted funds received and loans exposed to risks","Grants, entrusted funds received and loans exposed to risks",,
In VND,"Grants, entrusted funds received and loans exposed to risks > In VND",In VND,3.76 - 4.72,3.48,,348.0
In foreign currencies,In foreign currencies,In foreign currencies,0.75 - 6.05,6.53 - 7.16,,
