row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,EUR được quy đổi VND,USD được quy đổi VND,Giá trị vàng tiền tệ được quy đổi VND,Các ngoại tệ khác được quy đổi VND,Tổng cộng VND,numeric__EUR được quy đổi VND,numeric__USD được quy đổi VND,numeric__Giá trị vàng tiền tệ được quy đổi VND,numeric__Các ngoại tệ khác được quy đổi VND,numeric__Tổng cộng VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,4.983.677.046,71.302.384.706,91.520.000,4.392.458.374,80.770.040.126,4983677046.0,71302384706.0,91520000.0,4392458374.0,80770040126.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,149.960.919.227,-,-,149.960.919.227,,149960919227.0,,,149960919227.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,25.020.759.155,3.263.323.924.876,-,141.845.598.202,3.430.190.282.233,25020759155.0,3263323924876.0,,141845598202.0,3430190282233.0
Cho vay khách hàng và mua nợ – gộp,Tài sản > Cho vay khách hàng và mua nợ – gộp,Cho vay khách hàng và mua nợ – gộp,-,709.691.828.645,-,-,709.691.828.645,,709691828645.0,,,709691828645.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,13.177.148,269.142.383.134,-,4.014.335,269.159.574.617,13177148.0,269142383134.0,,4014335.0,269159574617.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),30.017.613.349,4.463.421.440.588,91.520.000,146.242.070.911,4.639.772.644.848,30017613349.0,4463421440588.0,91520000.0,146242070911.0,4639772644848.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,4.146.223.218.865,-,-,4.146.223.218.865,,4146223218865.0,,,4146223218865.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,26.856.678.673,1.409.949.723.952,-,113.324.293.237,1.550.130.695.862,26856678673.0,1409949723952.0,,113324293237.0,1550130695862.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,(6.732.793.656.564),-,-,(6.732.793.656.564),,-6732793656564.0,,,-6732793656564.0
"Vốn tài trợ, uy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, uy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, uy thác đầu tư, cho vay TCTD chịu rủi ro",-,5.855.455.000.000,-,-,5.855.455.000.000,,5855455000000.0,,,5855455000000.0
Các khoản nợ khác – gộp,Nợ phải trả > Các khoản nợ khác – gộp,Các khoản nợ khác – gộp,2.389.104.691,102.033.911.344,11.019.008,1.568.724.998,106.002.760.041,2389104691.0,102033911344.0,11019008.0,1568724998.0,106002760041.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),29.245.783.364,4.780.868.197.597,11.019.008,114.893.018.235,4.925.018.018.204,29245783364.0,4780868197597.0,11019008.0,114893018235.0,4925018018204.0
Trạng thái tiền tệ nội bảng [(3)=(1)-(2)],Nợ phải trả > Trạng thái tiền tệ nội bảng [(3)=(1)-(2)],Trạng thái tiền tệ nội bảng [(3)=(1)-(2)],771.829.985,(317.446.757.009),80.500.992,31.349.052.676,(285.245.373.356),771829985.0,-317446757009.0,80500992.0,31349052676.0,-285245373356.0
Trạng thái tiền tệ ngoại bảng (4),Nợ phải trả > Trạng thái tiền tệ ngoại bảng (4),Trạng thái tiền tệ ngoại bảng (4),-,557.430.496.921,-,(23.038.800.000),534.391.696.921,,557430496921.0,,-23038800000.0,534391696921.0
"Trạng thái tiền tệ nội, ngoại bảng [(5)=(3)+(4)]","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bảng [(5)=(3)+(4)]","Trạng thái tiền tệ nội, ngoại bảng [(5)=(3)+(4)]",771.829.985,239.983.739.912,80.500.992,8.310.252.676,249.146.323.565,771829985.0,239983739912.0,80500992.0,8310252676.0,249146323565.0
