row_label_raw,row_label_full,col_0,Fair value through profit or loss VND,Loans and receivables VND,Available-for-sale VND,Amortised cost VND,Carrying amount VND,Fair value VND,numeric__Fair value through profit or loss VND,numeric__Loans and receivables VND,numeric__Available-for-sale VND,numeric__Amortised cost VND,numeric__Carrying amount VND,numeric__Fair value VND
Financial assets,Financial assets,Financial assets,Financial assets,Financial assets,Financial assets,Financial assets,Financial assets,Financial assets,,,,,,
Cash on hand and gold,Cash on hand and gold,Cash on hand and gold,-,"787,773,771,826",-,-,"787,773,771,826","787,773,771,826",,,,,,
Balances with the SBV,Balances with the SBV,Balances with the SBV,-,"2,377,473,012,237",-,-,"2,377,473,012,237","2,377,473,012,237",,,,,,
Deposits with and loans to other CIs,Deposits with and loans to other CIs,Deposits with and loans to other CIs,-,"39,126,199,257,631",-,-,"39,126,199,257,631",(*),,,,,,
Loans and advances to customers - gross,Loans and advances to customers - gross,Loans and advances to customers - gross,-,"170,844,469,638,663",-,-,"170,844,469,638,663",(*),,,,,,
Purchased debts - gross,Purchased debts - gross,Purchased debts - gross,-,"5,079,222,324,368",-,-,"5,079,222,324,368",(*),,,,,,
Available-for-sale securities - gross,Available-for-sale securities - gross,Available-for-sale securities - gross,-,-,"52,635,610,527,457",-,"52,635,610,527,457",(*),,,,,,
Other financial assets - gross,Other financial assets - gross,Other financial assets - gross,-,"3,328,328,011,723",-,-,"3,328,328,011,723",(*),,,,,,
,,,-,"221,543,466,016,448","52,635,610,527,457",-,"274,179,076,543,905",,,,,,,
Financial liabilities,Financial liabilities,Financial liabilities,Financial liabilities,Financial liabilities,Financial liabilities,Financial liabilities,Financial liabilities,Financial liabilities,,,,,,
Due to the Government and the SBV,Due to the Government and the SBV,Due to the Government and the SBV,-,-,-,"3,469,535,552,139","3,469,535,552,139",(*),,,,,,
Deposits and borrowings from other CIs,Deposits and borrowings from other CIs,Deposits and borrowings from other CIs,-,-,-,"45,008,281,205,498","45,008,281,205,498",(*),,,,,,
Deposits from customers,Deposits from customers,Deposits from customers,-,-,-,"142,459,763,487,912","142,459,763,487,912",(*),,,,,,
"Grants, entrusted funds and loans exposed to risks","Grants, entrusted funds and loans exposed to risks","Grants, entrusted funds and loans exposed to risks",-,-,-,"5,942,083,509,395","5,942,083,509,395",(*),,,,,,
Valuable papers issued,Valuable papers issued,Valuable papers issued,-,-,-,"44,010,712,500,000","44,010,712,500,000",(*),,,,,,
Derivatives and other financial liabilities,Derivatives and other financial liabilities,Derivatives and other financial liabilities,"356,262,657,844",-,-,-,"356,262,657,844",(*),,,,,,
Other financial liabilities,Other financial liabilities,Other financial liabilities,-,-,-,"2,982,631,843,407","2,982,631,843,407",(*),,,,,,
,,,"356,262,657,844",-,-,"243,873,008,098,351","244,229,270,756,195",,,,,,,
