row_label_raw,row_label_full,col_0,2025VND,2024VND(dã điều chỉnh lại),numeric__2025VND,numeric__2024VND(dã điều chỉnh lại)
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,
• Thu từ nợ đã xử lý rủi ro,Thu nhập từ hoạt động khác > • Thu từ nợ đã xử lý rủi ro,• Thu từ nợ đã xử lý rủi ro,1.138.210.516.431,211.356.985.356,1138210516431.0,211356985356.0
• Thu từ các công cụ tài chính phải sinh khác,Thu nhập từ hoạt động khác > • Thu từ các công cụ tài chính phải sinh khác,• Thu từ các công cụ tài chính phải sinh khác,35.227.219.796,127.638.356,35227219796.0,127638356.0
• Thu nhập từ thanh lý tài sản gán nợ,Thu nhập từ hoạt động khác > • Thu nhập từ thanh lý tài sản gán nợ,• Thu nhập từ thanh lý tài sản gán nợ,16.017.173.697,10.442.826.703,16017173697.0,10442826703.0
• Thu nhập từ thanh lý tài sản cố định,Thu nhập từ hoạt động khác > • Thu nhập từ thanh lý tài sản cố định,• Thu nhập từ thanh lý tài sản cố định,16.898.773.901,33.951.298.858,16898773901.0,33951298858.0
• Thu từ hoạt động kinh doanh khác,Thu nhập từ hoạt động khác > • Thu từ hoạt động kinh doanh khác,• Thu từ hoạt động kinh doanh khác,3.233.816.999,1.765.199.045,3233816999.0,1765199045.0
• Thu khác,Thu nhập từ hoạt động khác > • Thu khác,• Thu khác,417.859.526.666,263.107.914.987,417859526666.0,263107914987.0
,,,1.627.447.027.490,520.751.863.305,1627447027490.0,520751863305.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,
• Chi từ thanh lý tài sản gán nợ,Chi phí hoạt động khác > • Chi từ thanh lý tài sản gán nợ,• Chi từ thanh lý tài sản gán nợ,(27.583.171.566),(24.357.830.359),-27583171566.0,-24357830359.0
• Chi từ các công cụ tài chính phải sinh khác,Chi phí hoạt động khác > • Chi từ các công cụ tài chính phải sinh khác,• Chi từ các công cụ tài chính phải sinh khác,(24.271.859.943),-,-24271859943.0,
• Chi về công tác xã hội,Chi phí hoạt động khác > • Chi về công tác xã hội,• Chi về công tác xã hội,(10.312.598.125),(19.419.320.000),-10312598125.0,-19419320000.0
• Chi về hoạt động kinh doanh khác,Chi phí hoạt động khác > • Chi về hoạt động kinh doanh khác,• Chi về hoạt động kinh doanh khác,(6.270.373.585),(10.413.647.668),-6270373585.0,-10413647668.0
• Chi phí từ thanh lý tài sản cố định,Chi phí hoạt động khác > • Chi phí từ thanh lý tài sản cố định,• Chi phí từ thanh lý tài sản cố định,(1.385.912.518),(1.009.097.978),-1385912518.0,-1009097978.0
• Chi khác,Chi phí hoạt động khác > • Chi khác,• Chi khác,(169.662.670.450),(58.901.422.217),-169662670450.0,-58901422217.0
,,,(239.486.586.187),(114.101.318.222),-239486586187.0,-114101318222.0
Lãi thuần từ hoạt động khác,Chi phí hoạt động khác > Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,1.387.960.441.303,406.650.545.083,1387960441303.0,406650545083.0
