row_label_raw,row_label_full,col_0,2025VND,2024VND(restated)(*),2024VND(as previous reported),numeric__2025VND,numeric__2024VND(restated)(*),numeric__2024VND(as previous reported)
Net profit for the year,Net profit for the year,Net profit for the year,"4,010,081,114,025","3,173,423,226,768","3,173,423,226,768",,,
Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,"(32,481,626,308)","(30,396,256,358)","(25,385,536,201)",,,
Net profit attributable to ordinary shareholders,Net profit attributable to ordinary shareholders,Net profit attributable to ordinary shareholders,"3,977,599,487,717","3,143,026,970,410","3,148,037,690,567",,,
