row_label_raw,row_label_full,15,Increase in borrowings from the Government and the State Bank of Vietnam,"4,433,082,488,759","3,375,141,098,577",numeric__Increase in borrowings from the Government and the State Bank of Vietnam,"numeric__4,433,082,488,759","numeric__3,375,141,098,577"
16,16,16,Increase in deposits and borrowings from other CIs,"9,801,346,546,177","13,968,416,009,731",,,
17,17,17,Increase in deposits from customers,"7,569,880,895,215","16,513,831,069,353",,,
18,18,18,Increase in valuable papers issued,"20,659,787,500,000","6,202,387,500,000",,,
19,19,19,Increase in grants and entrusted funds received,"316,195,945,445","1,583,888,255,582",,,
20,20,20,(Decrease)/increase in derivatives and other financial assets,"(356,262,657,844)","356,262,657,844",,,
21,21,21,Increase/(decrease) in other operating liabilities,"686,176,676,091","(2,149,528,487,028)",,,
22,22,22,Utilisation of reserves,"(5,543,000,000)","(10,462,000,000)",,,
