row_label_raw,row_label_full,col_0,col_1,Thuyết minh,2025 VND,2024 VND (đã điều chỉnh lại),numeric__col_1,numeric__Thuyết minh,numeric__2025 VND,numeric__2024 VND (đã điều chỉnh lại)
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,24,21.118.345.862.134,17.954.213.013.236,,24.0,21118345862134.0,17954213013236.0
2,2,2,Chi phí lãi và các chi phí tương tự,24,(11.869.499.472.499),(9.347.544.341.743),,24.0,-11869499472499.0,-9347544341743.0
I,I,I,Thu nhập lãi thuần,24,9.248.846.389.635,8.606.668.671.493,,24.0,9248846389635.0,8606668671493.0
3,3,3,Thu nhập từ hoạt động dịch vụ,25,1.235.727.193.452,1.073.464.718.082,,25.0,1235727193452.0,1073464718082.0
4,4,4,Chi phí hoạt động dịch vụ,25,(225.127.319.676),(142.483.258.293),,25.0,-225127319676.0,-142483258293.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,25,1.010.599.873.776,930.981.459.789,,25.0,1010599873776.0,930981459789.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,26,216.276.066.595,310.954.000.786,,26.0,216276066595.0,310954000786.0
IV,IV,IV,(Lỗ)/lãi thuần từ mua bán chứng khoán kinh doanh,27,(45.400.040.000),2.250.030.000,,27.0,-45400040000.0,2250030000.0
V,V,V,Lỗ thuần từ mua bán chứng khoán đầu tư,28,(228.916.152.847),(188.421.795.033),,28.0,-228916152847.0,-188421795033.0
5,5,5,Thu nhập từ hoạt động khác,29,1.627.447.027.490,520.751.863.305,,29.0,1627447027490.0,520751863305.0
6,6,6,Chi phí hoạt động khác,29,(239.486.586.187),(114.101.318.222),,29.0,-239486586187.0,-114101318222.0
VI,VI,VI,Lãi thuần từ hoạt động khác,29,1.387.960.441.303,406.650.545.083,,29.0,1387960441303.0,406650545083.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",,372.600.000,-,,,372600000.0,
VIII,VIII,VIII,Chi phí hoạt động,30,(4.202.555.569.391),(3.803.760.652.156),,30.0,-4202555569391.0,-3803760652156.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,7.387.183.609.071,6.265.322.259.962,,,7387183609071.0,6265322259962.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,31,(2.364.748.456.806),(2.259.026.320.781),,31.0,-2364748456806.0,-2259026320781.0
XI,XI,XI,Tổng lợi nhuận trước thuế (mang sang trang sau ),,5.022.435.152.265,4.006.295.939.181,,,5022435152265.0,4006295939181.0
