row_label_raw,row_label_full,col_0,The South VND,The North VND,The Central VND,Eliminations VND,Total VND,numeric__The South VND,numeric__The North VND,numeric__The Central VND,numeric__Eliminations VND,numeric__Total VND
Year ended 31 December 2025,Year ended 31 December 2025,Year ended 31 December 2025,Year ended 31 December 2025,Year ended 31 December 2025,Year ended 31 December 2025,Year ended 31 December 2025,Year ended 31 December 2025,,,,,
I. Income,I. Income,I. Income,I. Income,I. Income,I. Income,I. Income,I. Income,,,,,
1. Interest income,1. Interest income,1. Interest income,"47,227,841,508,745","5,370,381,469,048","3,220,402,636,382","(34,700,279,752,041)","21,118,345,862,134",,,,,
Interest income from external,Interest income from external,Interest income from external,"15,359,222,236,684","3,636,458,734,297","2,122,664,891,153",-,"21,118,345,862,134",,,,,
Interest income from internal,Interest income from internal,Interest income from internal,"31,868,619,272,061","1,733,922,734,751","1,097,737,745,229","(34,700,279,752,041)",-,,,,,
2. Fee and commission revenue,Interest income from internal > 2. Fee and commission revenue,2. Fee and commission revenue,"1,117,143,501,520","76,982,525,562","41,601,296,370","(130,000)","1,235,727,193,452",,,,-130.0,
3. Other income,3. Other income,3. Other income,"2,019,842,091,568","1,024,990,159,626","512,346,441,149","(1,076,268,158,731)","2,480,910,533,612",,,,,
TOTAL OPERATING INCOME,TOTAL OPERATING INCOME,TOTAL OPERATING INCOME,"50,364,827,101,833","6,472,354,154,236","3,774,350,373,901","(35,776,548,040,772)","24,834,983,589,198",,,,,
II. Expense,II. Expense,II. Expense,II. Expense,II. Expense,II. Expense,II. Expense,II. Expense,,,,,
1. Interest expense,1. Interest expense,1. Interest expense,"(40,068,384,803,234)","(4,109,507,352,537)","(2,391,887,068,769)","34,700,279,752,041","(11,869,499,472,499)",,,,,
Interest expense from external,Interest expense from external,Interest expense from external,"(9,712,160,516,370)","(1,306,256,774,794)","(851,082,181,335)",-,"(11,869,499,472,499)",,,,,
Interest expense from internal,Interest expense from internal,Interest expense from internal,"(30,356,224,286,864)","(2,803,250,577,743)","(1,540,804,887,434)","34,700,279,752,041",-,,,,,
2. Depreciation and amortisation expenses,2. Depreciation and amortisation expenses,2. Depreciation and amortisation expenses,"(148,988,451,820)","(11,788,013,273)","(11,817,457,243)",-,"(172,593,922,336)",,,,,
3. Operating expenses,3. Operating expenses,3. Operating expenses,"(5,422,706,021,046)","(600,076,305,750)","(459,031,864,446)","1,076,107,605,950","(5,405,706,585,292)",,,,,
TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES,"(45,640,079,276,100)","(4,721,371,671,560)","(2,862,736,390,458)","35,776,387,357,991","(17,447,799,980,127)",,,,,
Profit before allowance expenses for credit losses,Profit before allowance expenses for credit losses,Profit before allowance expenses for credit losses,"4,724,747,825,733","1,750,982,482,676","911,613,983,443","(160,682,781)","7,387,183,609,071",,,,,
Allowance expenses for credit losses,Allowance expenses for credit losses,Allowance expenses for credit losses,"(2,151,823,387,356)","(75,059,855,953)","(137,865,213,497)",-,"(2,364,748,456,806)",,,,,
Segment profit,Segment profit,Segment profit,"2,572,924,438,377","1,675,922,626,723","773,748,769,946","(160,682,781)","5,022,435,152,265",,,,,
