row_label_raw,row_label_full,col_0,31/12/2025VND,31/12/2024VND(restated),numeric__31/12/2025VND,numeric__31/12/2024VND(restated)
Internal payables,Internal payables,Internal payables,"10,687,551,471","9,670,775,746",,
Payables to employees,Payables to employees,Payables to employees,"10,687,551,471","9,670,775,746",,
External payables,External payables,External payables,"1,759,281,926,192","740,195,263,821",,
Tax payables (Note 22),Tax payables (Note 22),Tax payables (Note 22),"691,157,384,145","358,300,087,671",,
Payables to customer (i),Payables to customer (i),Payables to customer (i),"493,293,720,246",-,,
Payables for settlement services,Payables for settlement services,Payables for settlement services,"263,813,636,457","65,702,764,624",,
Custodial and awaiting deposits for settlement,Custodial and awaiting deposits for settlement,Custodial and awaiting deposits for settlement,"42,360,302,546","36,245,740,820",,
Dividend payables,Dividend payables,Dividend payables,"29,996,220,530","17,992,908,126",,
Payables for remittance services,Payables for remittance services,Payables for remittance services,"16,682,972,826","56,738,563,534",,
Other payables,Other payables,Other payables,"221,977,689,442","205,215,199,046",,
Bonus and welfare funds (ii),Bonus and welfare funds (ii),Bonus and welfare funds (ii),"188,187,569,445","163,334,313,087",,
,,,"1,958,157,047,108","913,200,352,654",,
