row_label_raw,row_label_full,col_0,31/12/2025VND,31/12/2024VND(dã điều chỉnh lại),numeric__31/12/2025VND,numeric__31/12/2024VND(dã điều chỉnh lại)
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,10.687.551.471,9.670.775.746,10687551471.0,9670775746.0
• Các khoản phải trả nhân viên,• Các khoản phải trả nhân viên,• Các khoản phải trả nhân viên,10.687.551.471,9.670.775.746,10687551471.0,9670775746.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,1.759.281.926.192,740.195.263.821,1759281926192.0,740195263821.0
• Thuế phải trả (Thuyết minh 22),• Thuế phải trả (Thuyết minh 22),• Thuế phải trả (Thuyết minh 22),691.157.384.145,358.300.087.671,691157384145.0,358300087671.0
• Phải trả khách hàng (i),• Phải trả khách hàng (i),• Phải trả khách hàng (i),493.293.720.246,-,493293720246.0,
• Phải trả dịch vụ thanh toán thể,• Phải trả dịch vụ thanh toán thể,• Phải trả dịch vụ thanh toán thể,263.813.636.457,65.702.764.624,263813636457.0,65702764624.0
• Tiền giữ hộ và đội thanh toán,• Tiền giữ hộ và đội thanh toán,• Tiền giữ hộ và đội thanh toán,42.360.302.546,36.245.740.820,42360302546.0,36245740820.0
• Cổ tức phải trả,• Cổ tức phải trả,• Cổ tức phải trả,29.996.220.530,17.992.908.126,29996220530.0,17992908126.0
• Phải trả dịch vụ kiểu hồi,• Phải trả dịch vụ kiểu hồi,• Phải trả dịch vụ kiểu hồi,16.682.972.826,56.738.563.534,16682972826.0,56738563534.0
• Các khoản phải trả khác,• Các khoản phải trả khác,• Các khoản phải trả khác,221.977.689.442,205.215.199.046,221977689442.0,205215199046.0
Quỹ khen thưởng phúc lợi (ii),Quỹ khen thưởng phúc lợi (ii),Quỹ khen thưởng phúc lợi (ii),188.187.569.445,163.334.313.087,188187569445.0,163334313087.0
,,,1.958.157.047.108,913.200.352.654,1958157047108.0,913200352654.0
