row_label_raw,row_label_full,Năm kết thúcngày 31 tháng 12 năm 2024,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận chuyểnVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận chuyểnVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,229.212.436.979,398.126.603.213,154.248.405.034,2.069.688.887,783.657.134.113,229212436979.0,398126603213.0,154248405034.0,2069688887.0,783657134113.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,7.621.171.670,39.474.807.385,21.115.839.400,-,68.211.818.455,7621171670.0,39474807385.0,21115839400.0,,68211818455.0
Nâng cấp trong năm,Nguyên giá > Nâng cấp trong năm,Nâng cấp trong năm,53.690.458,8.523.876.351,79.852.800,-,8.657.419.609,53690458.0,8523876351.0,79852800.0,,8657419609.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,45.352.860.865,23.867.636.655,8.212.750.000,-,77.433.247.520,45352860865.0,23867636655.0,8212750000.0,,77433247520.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(21.667.413.073),(15.972.069.022),(2.330.504.149),-,(39.969.986.244),-21667413073.0,-15972069022.0,-2330504149.0,,-39969986244.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,260.572.746.899,454.020.854.582,181.326.343.085,2.069.688.887,897.989.633.453,260572746899.0,454020854582.0,181326343085.0,2069688887.0,897989633453.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,103.776.368.063,290.116.371.098,118.646.691.281,1.576.830.375,514.116.260.817,103776368063.0,290116371098.0,118646691281.0,1576830375.0,514116260817.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,15.405.942.609,43.072.429.094,11.201.226.617,141.343.579,69.820.941.899,15405942609.0,43072429094.0,11201226617.0,141343579.0,69820941899.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(9.287.110.427),(15.629.839.883),(2.330.504.149),-,(27.247.454.459),-9287110427.0,-15629839883.0,-2330504149.0,,-27247454459.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,109.895.200.245,317.558.960.309,127.517.413.749,1.718.173.954,556.689.748.257,109895200245.0,317558960309.0,127517413749.0,1718173954.0,556689748257.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,125.436.068.916,108.010.232.115,35.601.713.753,492.858.512,269.540.873.296,125436068916.0,108010232115.0,35601713753.0,492858512.0,269540873296.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,150.677.546.654,136.461.894.273,53.808.929.336,351.514.933,341.299.885.196,150677546654.0,136461894273.0,53808929336.0,351514933.0,341299885196.0
