row_label_raw,row_label_full,Năm kết thúcngày 31 tháng 12 năm 2025 > Thuế giá trị gia tăng,Số dư đầu năm > Số phải trảVND > 42.237.381.703,Số dư đầu năm > Số phải thuVND > 37.648.160.619,Phát sinh trong năm > Số phải nộpVND > 119.311.141.499,Phát sinh trong năm > Số đã nộpVND > (80.873.305.571),Số dư cuối năm > Số phải trảVND > 57.301.882.662,Số dư cuối năm > Số phải thuVND > 14.274.825.650,numeric__Số dư đầu năm > Số phải trảVND > 42.237.381.703,numeric__Số dư đầu năm > Số phải thuVND > 37.648.160.619,numeric__Phát sinh trong năm > Số phải nộpVND > 119.311.141.499,numeric__Phát sinh trong năm > Số đã nộpVND > (80.873.305.571),numeric__Số dư cuối năm > Số phải trảVND > 57.301.882.662,numeric__Số dư cuối năm > Số phải thuVND > 14.274.825.650
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,302.807.704.094,4.863.168.144,1.021.508.812.227,(700.602.138.351),618.972.393.070,121.183.244,302807704094.0,4863168144.0,1021508812227.0,-700602138351.0,618972393070.0,121183244.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,12.031.606.770,-,210.389.908.249,(209.510.809.223),12.910.705.796,-,12031606770.0,,210389908249.0,-209510809223.0,12910705796.0,
Thuế nhà thầu,Thuế nhà thầu,Thuế nhà thầu,1.223.395.104,-,15.598.968.806,(14.849.961.293),1.972.402.617,-,1223395104.0,,15598968806.0,-14849961293.0,1972402617.0,
Thuế nhà đất,Thuế nhà đất,Thuế nhà đất,-,-,489.731.807,(489.731.807),-,-,,,489731807.0,-489731807.0,,
Thuế khác,Thuế khác,Thuế khác,-,-,179.000.000,(179.000.000),-,-,,,179000000.0,-179000000.0,,
,,,358.300.087.671,42.511.328.763,1.367.477.562.588,(1.006.504.946.245),691.157.384.145,14.396.008.894,358300087671.0,42511328763.0,1367477562588.0,-1006504946245.0,691157384145.0,14396008894.0
Năm kết thúcngày 31 tháng 12 năm 2024,Năm kết thúcngày 31 tháng 12 năm 2024,Năm kết thúcngày 31 tháng 12 năm 2024,Số dư đầu năm,Số dư đầu năm,Phát sinh trong năm,Phát sinh trong năm,Số dư cuối năm,Số dư cuối năm,,,,,,
Năm kết thúcngày 31 tháng 12 năm 2024,Năm kết thúcngày 31 tháng 12 năm 2024,Năm kết thúcngày 31 tháng 12 năm 2024,Số phải trảVND,Số phải thuVND,Số phải nộpVND,Số đã nộpVND,Số phải trảVND,Số phải thuVND,,,,,,
Thuế giá trị gia tăng,Năm kết thúcngày 31 tháng 12 năm 2024 > Thuế giá trị gia tăng,Thuế giá trị gia tăng,68.546.123.446,116.569.579,92.321.435.338,(156.161.768.121),42.237.381.703,37.648.160.619,68546123446.0,116569579.0,92321435338.0,-156161768121.0,42237381703.0,37648160619.0
Thuế thu nhập doanh nghiệp,Năm kết thúcngày 31 tháng 12 năm 2024 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,318.076.067.522,191.800.783,832.872.712.413,(852.812.443.202),302.807.704.094,4.863.168.144,318076067522.0,191800783.0,832872712413.0,-852812443202.0,302807704094.0,4863168144.0
Thuế thu nhập cá nhân,Năm kết thúcngày 31 tháng 12 năm 2024 > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,9.859.315.404,-,161.762.996.787,(159.590.705.421),12.031.606.770,-,9859315404.0,,161762996787.0,-159590705421.0,12031606770.0,
Thuế nhà thầu,Năm kết thúcngày 31 tháng 12 năm 2024 > Thuế nhà thầu,Thuế nhà thầu,1.026.320.497,-,13.522.706.070,(13.325.631.463),1.223.395.104,-,1026320497.0,,13522706070.0,-13325631463.0,1223395104.0,
Thuế nhà đất,Năm kết thúcngày 31 tháng 12 năm 2024 > Thuế nhà đất,Thuế nhà đất,-,-,732.287.023,(732.287.023),-,-,,,732287023.0,-732287023.0,,
Thuế khác,Năm kết thúcngày 31 tháng 12 năm 2024 > Thuế khác,Thuế khác,-,-,174.000.000,(174.000.000),-,-,,,174000000.0,-174000000.0,,
,,,397.507.826.869,308.370.362,1.101.386.137.631,(1.182.796.835.230),358.300.087.671,42.511.328.763,397507826869.0,308370362.0,1101386137631.0,-1182796835230.0,358300087671.0,42511328763.0
