row_label_raw,row_label_full,Name,Position,2025 VND,2024 VND,numeric__Position,numeric__2025 VND,numeric__2024 VND
Board of Directors,Board of Directors,Board of Directors,Board of Directors,Board of Directors,Board of Directors,,,
Mr. Trinh Van Tuan,Mr. Trinh Van Tuan,Mr. Trinh Van Tuan,Chairman,"16,423,165,041","17,905,223,150",,,
Ms. Trinh Thi Mai Anh,Ms. Trinh Thi Mai Anh,Ms. Trinh Thi Mai Anh,Member,"5,260,953,061","3,649,150,000",,,
Mr. Yoshizawa Toshiki,Mr. Yoshizawa Toshiki,Mr. Yoshizawa Toshiki,Member,"1,662,300,000","1,685,300,000",,,
Mr. Ngo Ha Bac,Mr. Ngo Ha Bac,Mr. Ngo Ha Bac,Member,"2,216,300,000","2,248,900,000",,,
Mr. Phan Trung,Mr. Phan Trung,Mr. Phan Trung,Member,"1,441,361,224","1,125,900,000",,,
Mr. Segawa Mitsuhiro,Mr. Segawa Mitsuhiro,Mr. Segawa Mitsuhiro,Member,"999,183,673",-,,,
Mr. Duong Ky Hiep,Mr. Duong Ky Hiep,Mr. Duong Ky Hiep,Independent Member,"832,953,061",-,,,
Mr. Kato Shin,Mr. Kato Shin,Mr. Kato Shin,Member,"702,000,000","1,604,916,439",,,
Mr. Nguyen Dinh Tung,Mr. Nguyen Dinh Tung,Mr. Nguyen Dinh Tung,Member,"468,000,000","11,017,854,500",,,
Mr. Pham Nguyen Tri,Mr. Pham Nguyen Tri,Mr. Pham Nguyen Tri,Independent Member,"468,300,000","1,123,900,000",,,
Mr. Bui Minh Duc,Mr. Bui Minh Duc,Mr. Bui Minh Duc,Independent Member,"468,000,000","1,123,900,000",,,
Board of Supervision,Board of Supervision,Board of Supervision,Board of Supervision,Board of Supervision,Board of Supervision,,,
Members,Members,Members,,"4,745,123,021","2,883,140,000",,,
Board of Management and Chief Accountant,Board of Management and Chief Accountant,Board of Management and Chief Accountant,Board of Management and Chief Accountant,Board of Management and Chief Accountant,Board of Management and Chief Accountant,,,
Mr. Pham Hong Hai,Mr. Pham Hong Hai,Mr. Pham Hong Hai,General Director,"17,322,373,516","10,484,104,000",,,
The reamaining members of the Board of Directors,The reamaining members of the Board of Directors,The reamaining members of the Board of Directors,,"3,400,149,688","16,376,977,117",,,
Ms. Nguyen Van Anh,Ms. Nguyen Van Anh,Ms. Nguyen Van Anh,Chief Accountant,"2,730,164,000","157,655,334",,,
,,,,"59,140,326,285","71,386,920,540",,,
