row_label_raw,row_label_full,Năm kết thúcngày 31 tháng 12 năm 2025,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận chuyểnVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,260.572.746.899,454.020.854.582,181.326.343.085,2.069.688.887,897.989.633.453,260572746899.0,454020854582.0,181326343085.0,2069688887.0,897989633453.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,4.375.347.485,55.988.533.660,84.616.680,73.900.000,60.522.397.825,4375347485.0,55988533660.0,84616680.0,73900000.0,60522397825.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,12.106.440.014,20.200.435.187,10.661.000.000,665.100.000,43.632.975.201,12106440014.0,20200435187.0,10661000000.0,665100000.0,43632975201.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(18.070.706.752),4.613.078.297,(4.585.531.457),-,(18.043.159.912),-18070706752.0,4613078297.0,-4585531457.0,,-18043159912.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(18.424.672.092),(8.421.260.276),(21.564.837.897),-,(48.410.770.265),-18424672092.0,-8421260276.0,-21564837897.0,,-48410770265.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,240.559.155.554,526.401.641.450,165.921.590.411,2.808.688.887,935.691.076.302,240559155554.0,526401641450.0,165921590411.0,2808688887.0,935691076302.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,109.895.200.245,317.558.960.309,127.517.413.749,1.718.173.954,556.689.748.257,109895200245.0,317558960309.0,127517413749.0,1718173954.0,556689748257.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,65.035.350.194,51.192.516.965,12.721.799.733,326.093.568,129.275.760.460,65035350194.0,51192516965.0,12721799733.0,326093568.0,129275760460.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(6.598.771.943),4.644.602.927,(4.732.441.158),-,(6.686.610.174),-6598771943.0,4644602927.0,-4732441158.0,,-6686610174.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(12.290.648.024),(8.053.803.433),(21.555.337.897),-,(41.899.789.354),-12290648024.0,-8053803433.0,-21555337897.0,,-41899789354.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,156.041.130.472,365.342.276.768,113.951.434.427,2.044.267.522,637.379.109.189,156041130472.0,365342276768.0,113951434427.0,2044267522.0,637379109189.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,150.677.546.654,136.461.894.273,53.808.929.336,351.514.933,341.299.885.196,150677546654.0,136461894273.0,53808929336.0,351514933.0,341299885196.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,84.518.025.082,161.059.364.682,51.970.155.984,764.421.365,298.311.967.113,84518025082.0,161059364682.0,51970155984.0,764421365.0,298311967113.0
