row_label_raw,row_label_full,col_0,Contractual amount– grossVND,31/12/2025Margin depositsVND,Contractual amount– netVND,numeric__Contractual amount– grossVND,numeric__31/12/2025Margin depositsVND,numeric__Contractual amount– netVND
Loan guarantees,Loan guarantees,Loan guarantees,"282,345,000,000","505,181,575","281,839,818,425",,,
Foreign exchange commitments,Foreign exchange commitments,Foreign exchange commitments,"182,797,611,540,637",-,"182,797,611,540,637",,,
In which:,In which:,In which:,In which:,In which:,In which:,,,
• Commitments on purchaseof foreign currencies,• Commitments on purchaseof foreign currencies,• Commitments on purchaseof foreign currencies,"2,893,757,692,890",-,"2,893,757,692,890",,,
• Commitments on sales offoreign currencies,• Commitments on sales offoreign currencies,• Commitments on sales offoreign currencies,"2,895,639,800,000",-,"2,895,639,800,000",,,
• Commitments on currencyswap transactions,• Commitments on currencyswap transactions,• Commitments on currencyswap transactions,"177,008,214,047,747",-,"177,008,214,047,747",,,
Letters of credit,Letters of credit,Letters of credit,"606,583,349,521","5,074,347,451","601,509,002,070",,,
Other guarantees,Other guarantees,Other guarantees,"13,133,377,144,568","322,722,513,461","12,810,654,631,107",,,
Other commitments,Other commitments,Other commitments,"4,672,128,793,102",-,"4,672,128,793,102",,,
