row_label_raw,row_label_full,01,Interest and similar income received,"20,753,432,453,701","17,695,416,911,444",numeric__Interest and similar income received,"numeric__20,753,432,453,701","numeric__17,695,416,911,444"
02,02,02,Interest and similar expenses paid,"(11,109,529,678,325)","(11,394,131,834,973)",,,
03,03,03,Net fee and commission income received,"808,772,656,816","937,622,856,884",,,
04,04,04,Net receipts from trading securities and foreign currencies,"(78,188,753,609)","131,716,277,329",,,
05,05,05,Other income,"242,889,616,203","196,007,091,051",,,
06,06,06,Collection of bad debts previously written-off,"1,138,210,516,431","211,356,985,356",,,
07,07,07,Salaries and operating expenses paid,"(4,079,491,499,188)","(3,728,914,483,970)",,,
08,08,08,Corporate income tax paid,"(700,602,138,351)","(852,812,443,202)",,,
