row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2025 > Số dư đầu năm > Trích lập dự phòng trong năm > Sử dụng dự phòng trong năm,Dự phòng cụ thể VND > 1.298.619.483.794 > 2.163.777.088.772 > (1.129.454.142.947),Dự phòng chung VND > 1.250.704.327.183 > 208.282.783.127 > -,Tổng VND > 2.549.323.810.977 > 2.372.059.871.899 > (1.129.454.142.947),numeric__Dự phòng cụ thể VND > 1.298.619.483.794 > 2.163.777.088.772 > (1.129.454.142.947),numeric__Dự phòng chung VND > 1.250.704.327.183 > 208.282.783.127 > -,numeric__Tổng VND > 2.549.323.810.977 > 2.372.059.871.899 > (1.129.454.142.947)
Sử dụng dự phòng xử lý rủi ro liên quan đến các khoản bán nợ cho VAMC,Sử dụng dự phòng xử lý rủi ro liên quan đến các khoản bán nợ cho VAMC,Sử dụng dự phòng xử lý rủi ro liên quan đến các khoản bán nợ cho VAMC,(217.871.438.637),-,(217.871.438.637),-217871438637.0,,-217871438637.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,2.115.070.990.982,1.458.987.110.310,3.574.058.101.292,2115070990982.0,1458987110310.0,3574058101292.0
Năm kết thúc ngày 31 tháng 12 năm 2024,Năm kết thúc ngày 31 tháng 12 năm 2024,Năm kết thúc ngày 31 tháng 12 năm 2024,Dự phòng cụ thể VND,Dự phòng chung VND,Tổng VND,,,
Số dư đầu năm,Năm kết thúc ngày 31 tháng 12 năm 2024 > Số dư đầu năm,Số dư đầu năm,1.418.317.495.091,1.083.831.823.873,2.502.149.318.964,1418317495091.0,1083831823873.0,2502149318964.0
Trích lập dự phòng trong năm,Năm kết thúc ngày 31 tháng 12 năm 2024 > Trích lập dự phòng trong năm,Trích lập dự phòng trong năm,1.998.381.103.495,225.688.288.561,2.224.069.392.056,1998381103495.0,225688288561.0,2224069392056.0
Sử dụng dự phòng trong năm,Năm kết thúc ngày 31 tháng 12 năm 2024 > Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,(2.118.079.114.792),(58.815.785.251),(2.176.894.900.043),-2118079114792.0,-58815785251.0,-2176894900043.0
Số dư cuối năm,Năm kết thúc ngày 31 tháng 12 năm 2024 > Số dư cuối năm,Số dư cuối năm,1.298.619.483.794,1.250.704.327.183,2.549.323.810.977,1298619483794.0,1250704327183.0,2549323810977.0
