row_label_raw,row_label_full,Overdue status,Allowance rate,numeric__Allowance rate
Over 6 months to less than 1 year,Over 6 months to less than 1 year,Over 6 months to less than 1 year,30%,0.3
From 1 to less than 2 years,From 1 to less than 2 years,From 1 to less than 2 years,50%,0.5
From 2 to less than 3 years,From 2 to less than 3 years,From 2 to less than 3 years,70%,0.7
From 3 years and above,From 3 years and above,From 3 years and above,100%,1.0
