row_label_raw,row_label_full,col_0,31/12/2025% per annum,31/12/2024% per annum,numeric__31/12/2025% per annum,numeric__31/12/2024% per annum
Term deposits from other CIs in VND,Term deposits from other CIs in VND,Term deposits from other CIs in VND,5.85 - 9.60,3.80 - 5.40,,
Term deposits from other CIs in foreign currencies,Term deposits from other CIs in foreign currencies,Term deposits from other CIs in foreign currencies,3.70 - 4.05,4.40 - 5.00,,
Borrowings from other CIs in VND,Borrowings from other CIs in VND,Borrowings from other CIs in VND,Not applicable,5.68 - 6.53,,
Borrowings from other CIs in foreign currencies,Borrowings from other CIs in foreign currencies,Borrowings from other CIs in foreign currencies,Not applicable,5.70 - 6.58,,
