row_label_raw,row_label_full,09,Decrease in deposits with and loans to other credit institutions (“CIs”),"93,921,500,000","1,392,653,034,449",numeric__Decrease in deposits with and loans to other credit institutions (“CIs”),"numeric__93,921,500,000","numeric__1,392,653,034,449"
10,10,10,Increase in trading securities,"(4,483,658,033,187)","(12,304,212,806,941)",,,
11,11,11,(Increase)/decrease in derivatives and other financial assets,"(88,476,577,033)","41,473,565,365",,,
12,12,12,Increase in loans to customers,"(28,391,431,348,807)","(28,166,325,747,460)",,,
13,13,13,Utilisation of allowance for credit losses,"(1,347,325,581,584)","(2,176,894,900,043)",,,
14,14,14,Decrease in other operating assets,"1,248,492,846,696","460,127,452,031",,,
