row_label_raw,row_label_full,col_0,Annual allocation,Maximum balance,numeric__Annual allocation,numeric__Maximum balance
Capital supplementary reserve,Capital supplementary reserve,Capital supplementary reserve,10% of profit after tax,Charter capital,,
Financial reserve,Financial reserve,Financial reserve,"10% of profit after tax, after appropriating to Supplement charter capital reserve",Not regulated,,
