row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Khu vực Miền Nam VND > Tại ngày 31 tháng 12 năm 2025,Khu vực Miền Bắc VND > Tại ngày 31 tháng 12 năm 2025,Khu vực Miền Trung VND > Tại ngày 31 tháng 12 năm 2025,Loại trừ VND > Tại ngày 31 tháng 12 năm 2025,Tổng cộng VND > Tại ngày 31 tháng 12 năm 2025,numeric__Khu vực Miền Nam VND > Tại ngày 31 tháng 12 năm 2025,numeric__Khu vực Miền Bắc VND > Tại ngày 31 tháng 12 năm 2025,numeric__Khu vực Miền Trung VND > Tại ngày 31 tháng 12 năm 2025,numeric__Loại trừ VND > Tại ngày 31 tháng 12 năm 2025,numeric__Tổng cộng VND > Tại ngày 31 tháng 12 năm 2025
III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,,,,,
1. Tiền mặt và vàng,III. Tài sản > 1. Tiền mặt và vàng,1. Tiền mặt và vàng,713.354.734.571,295.057.321.262,151.941.481.279,-,1.160.353.537.112,713354734571.0,295057321262.0,151941481279.0,,1160353537112.0
2. Tài sản cố định,III. Tài sản > 2. Tài sản cố định,2. Tài sản cố định,572.500.734.050,37.774.828.911,83.865.787.872,-,694.141.350.833,572500734050.0,37774828911.0,83865787872.0,,694141350833.0
3. Tài sản khác,III. Tài sản > 3. Tài sản khác,3. Tài sản khác,270.549.403.529.115,31.220.203.029.855,20.378.018.205.784,(1.052.640.085.586),321.094.984.679.168,270549403529115.0,31220203029855.0,20378018205784.0,-1052640085586.0,321094984679168.0
TỔNG TÀI SẢN,III. Tài sản > TỔNG TÀI SẢN,TỔNG TÀI SẢN,271.835.258.997.736,31.553.035.180.028,20.613.825.474.935,(1.052.640.085.586),322.949.479.567.113,271835258997736.0,31553035180028.0,20613825474935.0,-1052640085586.0,322949479567113.0
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,,,,,
1. Nợ phải trả khách hàng bên ngoài,IV. Nợ phải trả > 1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,(239.636.383.505.606),(29.877.112.553.305),(19.840.076.704.989),527.646.202.294,(288.825.926.561.606),-239636383505606.0,-29877112553305.0,-19840076704989.0,527646202294.0,-288825926561606.0
2. Nợ phải trả nội bộ,IV. Nợ phải trả > 2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,(10.687.551.471),-,-,-,(10.687.551.471),-10687551471.0,,,,-10687551471.0
3. Nợ phải trả khác,IV. Nợ phải trả > 3. Nợ phải trả khác,3. Nợ phải trả khác,(188.187.569.445),-,-,-,(188.187.569.445),-188187569445.0,,,,-188187569445.0
TỔNG NỘ PHẢI TRẢ,IV. Nợ phải trả > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,(239.835.258.626.522),(29.877.112.553.305),(19.840.076.704.989),527.646.202.294,(289.024.801.682.522),-239835258626522.0,-29877112553305.0,-19840076704989.0,527646202294.0,-289024801682522.0
