row_label_raw,row_label_full,col_0,31/12/2024(đã điều chỉnh lại)VND,31/12/2024(theo báo cáotrước đây)VND,numeric__31/12/2024(đã điều chỉnh lại)VND,numeric__31/12/2024(theo báo cáotrước đây)VND
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,2.867.322.167.606,7.092.839.311.432,2867322167606.0,7092839311432.0
Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,913.200.352.654,5.138.717.496.480,913200352654.0,5138717496480.0
