row_label_raw,row_label_full,col_0,Vốn điều lệ VND,Thặng dư vốn cổ phần VND,Quỹ của TCTD VND,Lợi nhuận chưa phân phối VND,Tổng VND,numeric__Vốn điều lệ VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ của TCTD VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2025,Số dư tại ngày 1 tháng 1 năm 2025,Số dư tại ngày 1 tháng 1 năm 2025,24.657.891.520.000,53.271.987.348,3.223.626.131.166,3.736.255.794.810,31.671.045.433.324,24657891520000.0,53271987348.0,3223626131166.0,3736255794810.0,31671045433324.0
Tăng vốn từ phát hành cổ phiếu thường,Tăng vốn từ phát hành cổ phiếu thường,Tăng vốn từ phát hành cổ phiếu thường,1.972.631.320.000,(53.271.987.348),(662.488.211.467),(1.256.871.121.185),-,1972631320000.0,-53271987348.0,-662488211467.0,-1256871121185.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,4.010.081.114.025,4.010.081.114.025,,,,4010081114025.0,4010081114025.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(1.726.052.406.400),(1.726.052.406.400),,,,-1726052406400.0,-1726052406400.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,761.918.483.220,(761.918.483.220),-,,,761918483220.0,-761918483220.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(30.396.256.358),(30.396.256.358),,,,-30396256358.0,-30396256358.0
Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,26.630.522.840.000,-,3.323.056.402.919,3.971.098.641.672,33.924.677.884.591,26630522840000.0,,3323056402919.0,3971098641672.0,33924677884591.0
Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,20.548.242.940.000,53.271.987.348,2.588.756.524.494,5.345.432.019.028,28.535.703.470.870,20548242940000.0,53271987348.0,2588756524494.0,5345432019028.0,28535703470870.0
Tăng vốn,Tăng vốn,Tăng vốn,4.109.648.580.000,-,-,(4.109.648.580.000),-,4109648580000.0,,,-4109648580000.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,3.173.423.226.768,3.173.423.226.768,,,,3173423226768.0,3173423226768.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,634.869.606.672,(634.869.606.672),-,,,634869606672.0,-634869606672.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(38.081.264.314),(38.081.264.314),,,,-38081264314.0,-38081264314.0
Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,24.657.891.520.000,53.271.987.348,3.223.626.131.166,3.736.255.794.810,31.671.045.433.324,24657891520000.0,53271987348.0,3223626131166.0,3736255794810.0,31671045433324.0
