row_label_raw,row_label_full,col_0,2025VND,2024VND(restated),numeric__2025VND,numeric__2024VND(restated)
Other operating income,Other operating income,Other operating income,Other operating income,Other operating income,,
Collections of bad debts previously written-off,Collections of bad debts previously written-off,Collections of bad debts previously written-off,"1,138,210,516,431","211,356,985,356",,
Income from other derivative financial instruments,Income from other derivative financial instruments,Income from other derivative financial instruments,"35,227,219,796","127,638,356",,
Proceeds from disposals of foreclosed assets,Proceeds from disposals of foreclosed assets,Proceeds from disposals of foreclosed assets,"16,017,173,697","10,442,826,703",,
Proceeds from disposals of fixed assets,Proceeds from disposals of fixed assets,Proceeds from disposals of fixed assets,"16,898,773,901","33,951,298,858",,
Other activities income,Other activities income,Other activities income,"3,233,816,999","1,765,199,045",,
Other income,Other income,Other income,"417,859,526,666","263,107,914,987",,
,,,"1,627,447,027,490","520,751,863,305",,
Other operating expenses,Other operating expenses,Other operating expenses,Other operating expenses,Other operating expenses,,
Expenses from disposals of foreclosed assets,Expenses from disposals of foreclosed assets,Expenses from disposals of foreclosed assets,"(27,583,171,566)","(24,357,830,359)",,
Expenses from other derivative financial instruments,Expenses from other derivative financial instruments,Expenses from other derivative financial instruments,"(24,271,859,943)",-,,
Expenses from social work,Expenses from social work,Expenses from social work,"(10,312,598,125)","(19,419,320,000)",,
Other activities expenses,Other activities expenses,Other activities expenses,"(6,270,373,585)","(10,413,647,668)",,
Expenses from disposals of fixed assets,Expenses from disposals of fixed assets,Expenses from disposals of fixed assets,"(1,385,912,518)","(1,009,097,978)",,
Other expenses,Other expenses,Other expenses,"(169,662,670,450)","(58,901,422,217)",,
,,,"(239,486,586,187)","(114,101,318,222)",,
Net gain from other operating activities,Net gain from other operating activities,Net gain from other operating activities,"1,387,960,441,303","406,650,545,083",,
