row_label_raw,row_label_full,col_0,31/12/2025% /năm,31/12/2024% /năm,numeric__31/12/2025% /năm,numeric__31/12/2024% /năm
Bằng VND,Bằng VND,Bằng VND,"1,25 - 25,00","1,00 - 23,30",,
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,"4,10 – 7,95","5,30 - 8,90",,
