row_label_raw,row_label_full,col_0,col_1,2025VND,2024VND(dã điều chỉnh lại),numeric__col_1,numeric__2025VND,numeric__2024VND(dã điều chỉnh lại)
,,,,2025VND,2024VND(dã điều chỉnh lại),,,
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Thu nhập lãi và các khoản thu nhập tương tự nhận được,20.753.432.453.701,17.695.416.911.444,,20753432453701.0,17695416911444.0
02,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 02,02,Chi phí lãi và các chi phí tương tự đã trả,(11.109.529.678.325),(11.394.131.834.973),,-11109529678325.0,-11394131834973.0
03,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 03,03,Thu nhập từ hoạt động dịch vụ nhận được,808.772.656.816,937.622.856.884,,808772656816.0,937622856884.0
04,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 04,04,"Chênh lệch số tiền thực thu từ hoạt động kinh doanh ngoại tệ, vàng và chứng khoán",(78.188.753.609),131.716.277.329,,-78188753609.0,131716277329.0
05,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 05,05,Thu nhập khác nhận được,242.889.616.203,196.007.091.051,,242889616203.0,196007091051.0
06,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 06,06,"Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",1.138.210.516.431,211.356.985.356,,1138210516431.0,211356985356.0
07,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 07,07,"Tiền chi trả cho nhân viên, hoạt động quản lý",(4.079.491.499.188),(3.728.914.483.970),,-4079491499188.0,-3728914483970.0
08,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 08,08,Tiền thuế thu nhập doanh nghiệp thực nộp trong năm,(700.602.138.351),(852.812.443.202),,-700602138351.0,-852812443202.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và công nợ hoạt động,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và công nợ hoạt động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và công nợ hoạt động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và công nợ hoạt động,6.975.493.173.678,3.196.261.359.919,,6975493173678.0,3196261359919.0
Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,,,
09,Những thay đổi về tài sản hoạt động > 09,09,"Giảm các khoản tiền gửi tại và cho vay các tổ chức tín dụng (""TCTD"") khác",93.921.500.000,1.392.653.034.449,,93921500000.0,1392653034449.0
10,Những thay đổi về tài sản hoạt động > 10,10,Tăng các khoản về kinh doanh chứng khoán,(4.483.658.033.187),(12.304.212.806.941),,-4483658033187.0,-12304212806941.0
11,Những thay đổi về tài sản hoạt động > 11,11,(Tăng)/giảm các công cụ tài chính phải sinh và các tài sản tài chính khác,(88.476.577.033),41.473.565.365,,-88476577033.0,41473565365.0
12,Những thay đổi về tài sản hoạt động > 12,12,Tăng các khoản cho vay khách hàng,(28.391.431.348.807),(28.166.325.747.460),,-28391431348807.0,-28166325747460.0
13,Những thay đổi về tài sản hoạt động > 13,13,"Giảm nguồn dự phòng để xử lý rủi ro, xử lý, bù đắp tồn thất",(1.347.325.581.584),(2.176.894.900.043),,-1347325581584.0,-2176894900043.0
14,Những thay đổi về tài sản hoạt động > 14,14,Giảm khác về tài sản hoạt động,1.248.492.846.696,460.127.452.031,,1248492846696.0,460127452031.0
Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,,,
15,Những thay đổi về công nợ hoạt động > 15,15,Tăng các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,4.433.082.488.759,3.375.141.098.577,,4433082488759.0,3375141098577.0
16,Những thay đổi về công nợ hoạt động > 16,16,Tăng tiền gửi và vay các TCTD khác,9.801.346.546.177,13.968.416.009.731,,9801346546177.0,13968416009731.0
17,Những thay đổi về công nợ hoạt động > 17,17,Tăng tiền gửi của khách hàng,7.569.880.895.215,16.513.831.069.353,,7569880895215.0,16513831069353.0
18,Những thay đổi về công nợ hoạt động > 18,18,Tăng phát hành giấy tờ có giá,20.659.787.500.000,6.202.387.500.000,,20659787500000.0,6202387500000.0
19,Những thay đổi về công nợ hoạt động > 19,19,"Tăng vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",316.195.945.445,1.583.888.255.582,,316195945445.0,1583888255582.0
20,Những thay đổi về công nợ hoạt động > 20,20,(Giảm)/tăng các công cụ tài chính phải sinh và các khoản nợ tài chính khác,(356.262.657.844),356.262.657.844,,-356262657844.0,356262657844.0
21,Những thay đổi về công nợ hoạt động > 21,21,Tăng/(giảm) khác về công nợ hoạt động,686.176.676.091,(2.149.528.487.028),,686176676091.0,-2149528487028.0
22,Những thay đổi về công nợ hoạt động > 22,22,Chi từ các quỹ của TCTD,(5.543.000.000),(10.462.000.000),,-5543000000.0,-10462000000.0
I,Những thay đổi về công nợ hoạt động > I,I,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,17.111.680.373.606,2.283.018.061.379,,17111680373606.0,2283018061379.0
