row_label_raw,row_label_full,col_0,31/12/2025VND,31/12/2024VND,numeric__31/12/2025VND,numeric__31/12/2024VND
"Board of Directors, Board of Supervision, Board of Management and Chief Accountant","Board of Directors, Board of Supervision, Board of Management and Chief Accountant","Board of Directors, Board of Supervision, Board of Management and Chief Accountant","Board of Directors, Board of Supervision, Board of Management and Chief Accountant","Board of Directors, Board of Supervision, Board of Management and Chief Accountant",,
Deposits,Deposits,Deposits,"(39,424,717,400)","(45,548,960,977)",,
Interest payable,Interest payable,Interest payable,"(297,348,712)","(435,400,246)",,
Loans,Loans,Loans,"1,253,700,668","821,462,739",,
Interest receivables,Loans > Interest receivables,Interest receivables,"4,620,413","208,164",,208.164
Other related parties,Other related parties,Other related parties,Other related parties,Other related parties,,
Deposits,Deposits,Deposits,"(134,131,075,126)","(161,595,885,367)",,
Interest payable,Interest payable,Interest payable,"(1,617,277,778)","(1,247,712,382)",,
Loans,Loans,Loans,"478,664,936,069","88,602,923,947",,
Interest receivables,Interest receivables,Interest receivables,"705,926,611","93,911,469",,
