row_label_raw,row_label_full,col_0,col_1,Note,31/12/2025 VND,31/12/2024 VND (restated),numeric__col_1,numeric__Note,numeric__31/12/2025 VND,numeric__31/12/2024 VND (restated)
A,A,A,ASSETS,,,,,,,
I,A > I,I,Cash on hand and gold,4,"1,160,353,537,112","787,773,771,826",,4.0,,
II,A > II,II,Balances with the State Bank of Vietnam,5,"2,883,240,107,112","2,377,473,012,237",,5.0,,
III,A > III,III,Deposits with and loans to other credit institutions,6,"53,061,333,717,576","39,126,199,257,631",,6.0,,
1,1,1,Deposits with other credit institutions,,"52,951,606,717,576","38,922,550,757,631",,,,
2,2,2,Loans to other credit institutions,,"109,727,000,000","203,648,500,000",,,,
IV,2 > IV,IV,Held-for-trading securities,7,"50,765,500,000",-,,7.0,,
V,2 > V,V,Derivatives and other financial assets,18,"88,476,577,033",-,,18.0,,
VI,VI,VI,Loans and advances to customers,,"195,190,887,725,518","168,295,145,827,686",,,,
1,VI > 1,1,Loans and advances to customers,8,"198,764,945,826,810","170,844,469,638,663",,8.0,,
2,VI > 2,2,Allowance for loans and advances to customers,9,"(3,574,058,101,292)","(2,549,323,810,977)",,9.0,,
VII,VI > VII,VII,Purchased debts,10,"4,205,191,220,572","5,041,128,156,935",,10.0,,
1,1,1,Purchased debts,,"4,236,968,484,204","5,079,222,324,368",,,,
2,2,2,Allowance for purchased debts,,"(31,777,263,632)","(38,094,167,433)",,,,
VIII,2 > VIII,VIII,Investment securities,11,"58,355,283,948,524","52,589,033,787,156",,11.0,,
1,1,1,Available-for-sale securities,,"57,068,503,060,644","52,635,610,527,457",,,,
2,2,2,Held-to-maturity securities,,"1,313,209,000,824",-,,,,
3,3,3,Allowance for losses on investment securities,,"(26,428,112,944)","(46,576,740,301)",,,,
X,X,X,Fixed assets,,"694,141,350,833","630,506,628,479",,,,
1,X > 1,1,Tangible fixed assets,12,"298,311,967,113","341,299,885,196",,12.0,,
a,a,a,Cost,,"935,691,076,302","897,989,633,453",,,,
b,b,b,Accumulated depreciation,,"(637,379,109,189)","(556,689,748,257)",,,,
3,b > 3,3,Intangible fixed assets,13,"395,829,383,720","289,206,743,283",,13.0,,
a,a,a,Cost,,"793,982,357,622","637,354,945,135",,,,
b,b,b,Accumulated amortisation,,"(398,152,973,902)","(348,148,201,852)",,,,
XII,XII,XII,Other assets,,"7,259,805,882,833","7,639,594,084,311",,,,
1,1,1,Receivables,14(a),"2,723,578,580,007","2,867,322,167,606",,,,
2,2,2,Accrued interest and fees receivable,14(b),"3,346,030,161,632","2,778,453,061,157",,,,
3,3,3,Deferred tax assets,,"9,154,773,987",-,,,,
4,4,4,Other assets,14(c),"1,210,455,383,434","1,998,618,855,548",,,,
5,5,5,Allowance for losses on other assets,14(d),"(29,413,016,227)","(4,800,000,000)",,,,
