row_label_raw,row_label_full,Số dư cuối năm với các bên liên quan,Phải thu/(phải trả) > 31/12/2025VND,Phải thu/(phải trả) > 31/12/2024VND,numeric__Phải thu/(phải trả) > 31/12/2025VND,numeric__Phải thu/(phải trả) > 31/12/2024VND
"Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường","Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường","Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường",,,,
Tiền gửi,"Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường > Tiền gửi",Tiền gửi,(39.424.717.400),(45.548.960.977),-39424717400.0,-45548960977.0
Lãi phải trả,"Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường > Lãi phải trả",Lãi phải trả,(297.348.712),(435.400.246),-297348712.0,-435400246.0
Cho vay,"Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường > Cho vay",Cho vay,1.253.700.668,821.462.739,1253700668.0,821462739.0
Lãi phải thu,"Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường > Lãi phải thu",Lãi phải thu,4.620.413,208.164,4620413.0,208164.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,,,
Tiền gửi,Các bên liên quan khác > Tiền gửi,Tiền gửi,(134.131.075.126),(161.595.885.367),-134131075126.0,-161595885367.0
Lãi phải trả,Các bên liên quan khác > Lãi phải trả,Lãi phải trả,(1.617.277.778),(1.247.712.382),-1617277778.0,-1247712382.0
Cho vay,Các bên liên quan khác > Cho vay,Cho vay,478.664.936.069,88.602.923.947,478664936069.0,88602923947.0
Lãi phải thu,Các bên liên quan khác > Lãi phải thu,Lãi phải thu,705.926.611,93.911.469,705926611.0,93911469.0
Giao dịch phát sinh trong năm,Giao dịch phát sinh trong năm,Giao dịch phát sinh trong năm,Thu nhập/(chi phí),Thu nhập/(chi phí),,
Giao dịch phát sinh trong năm,Giao dịch phát sinh trong năm,Giao dịch phát sinh trong năm,2025VND,2024VND,,
"Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường","Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường","Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường",,,,
Thù lao và thu nhập (i),"Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường > Thù lao và thu nhập (i)",Thù lao và thu nhập (i),59.140.326.285,71.386.920.540,59140326285.0,71386920540.0
Thu nhập lãi cho vay,"Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường > Thu nhập lãi cho vay",Thu nhập lãi cho vay,160.639.063,98.826.956,160639063.0,98826956.0
Chi phí lãi tiền gửi,"Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường > Chi phí lãi tiền gửi",Chi phí lãi tiền gửi,(1.355.678.995),(1.885.378.037),-1355678995.0,-1885378037.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,,,
Thu nhập lãi cho vay,Các bên liên quan khác > Thu nhập lãi cho vay,Thu nhập lãi cho vay,22.295.640.447,6.960.953.412,22295640447.0,6960953412.0
Chi phí lãi tiền gửi,Các bên liên quan khác > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,(6.763.361.058),(8.811.953.032),-6763361058.0,-8811953032.0
