row_label_raw,row_label_full,col_0,2024(restated)VND,2024(as previous reported)VND,numeric__2024(restated)VND,numeric__2024(as previous reported)VND
Other operating income,Other operating income,Other operating income,"520,751,863,305","1,021,970,746,505",,
Other operating expenses,Other operating expenses,Other operating expenses,"(114,101,318,222)","(615,320,201,422)",,
