row_label_raw,row_label_full,col_0,col_1,Note,2025 VND,2024 VND (restated),numeric__col_1,numeric__Note,numeric__2025 VND,numeric__2024 VND (restated)
1,1,1,Interest and similar income,24,"21,118,345,862,134","17,954,213,013,236",,24.0,,
2,2,2,Interest and similar expenses,24,"(11,869,499,472,499)","(9,347,544,341,743)",,24.0,,
I,I,I,Net interest income,24,"9,248,846,389,635","8,606,668,671,493",,24.0,,
3,3,3,Fee and commission income,25,"1,235,727,193,452","1,073,464,718,082",,25.0,,
4,4,4,Fee and commission expenses,25,"(225,127,319,676)","(142,483,258,293)",,25.0,,
II,II,II,Net fee and commission income,25,"1,010,599,873,776","930,981,459,789",,25.0,,
III,III,III,Net gain from trading of foreign currencies,26,"216,276,066,595","310,954,000,786",,26.0,,
IV,IV,IV,Net (loss)/gain from trading of held-for-trading securities,27,"(45,400,040,000)","2,250,030,000",,27.0,,
V,V,V,Net loss from sale of investment securities,28,"(228,916,152,847)","(188,421,795,033)",,28.0,,
5,5,5,Other operating income,29,"1,627,447,027,490","520,751,863,305",,29.0,,
6,6,6,Other operating expenses,29,"(239,486,586,187)","(114,101,318,222)",,29.0,,
VI,VI,VI,Net gain from other operating activities,29,"1,387,960,441,303","406,650,545,083",,29.0,,
VII,VII,VII,Income from investments in other entities,,"372,600,000",-,,,,
VIII,VII > VIII,VIII,Operating expenses,30,"(4,202,555,569,391)","(3,803,760,652,156)",,30.0,,
IX,IX,IX,Net operating profit before allowance expenses for credit losses,,"7,387,183,609,071","6,265,322,259,962",,,,
X,IX > X,X,Allowance expenses for credit losses,31,"(2,364,748,456,806)","(2,259,026,320,781)",,31.0,,
XI,XI,XI,Profit before tax (carried forward to the next page),,"5,022,435,152,265","4,006,295,939,181",,,,
