row_label_raw,row_label_full,col_0,Charter capital VND,Share premium VND,Reserves VND,Retained earnings VND,Total VND,numeric__Charter capital VND,numeric__Share premium VND,numeric__Reserves VND,numeric__Retained earnings VND,numeric__Total VND
Balance at 1 January 2025,Balance at 1 January 2025,Balance at 1 January 2025,"24,657,891,520,000","53,271,987,348","3,223,626,131,166","3,736,255,794,810","31,671,045,433,324",,,,,
Capital increase by bonus shares,Capital increase by bonus shares,Capital increase by bonus shares,"1,972,631,320,000","(53,271,987,348)","(662,488,211,467)","(1,256,871,121,185)",-,,,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,-,"4,010,081,114,025","4,010,081,114,025",,,,,
Dividends,Dividends,Dividends,-,-,-,"(1,726,052,406,400)","(1,726,052,406,400)",,,,,
Appropriation to reserves,Appropriation to reserves,Appropriation to reserves,-,-,"761,918,483,220","(761,918,483,220)",-,,,,,
Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,-,-,-,"(30,396,256,358)","(30,396,256,358)",,,,,
Balance at 31 December 2025,Balance at 31 December 2025,Balance at 31 December 2025,"26,630,522,840,000",-,"3,323,056,402,919","3,971,098,641,672","33,924,677,884,591",,,,,
Balance at 1 January 2024,Balance at 1 January 2024,Balance at 1 January 2024,"20,548,242,940,000","53,271,987,348","2,588,756,524,494","5,345,432,019,028","28,535,703,470,870",,,,,
Capital increase by bonus shares,Capital increase by bonus shares,Capital increase by bonus shares,"4,109,648,580,000",-,-,"(4,109,648,580,000)",-,,,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,-,"3,173,423,226,768","3,173,423,226,768",,,,,
Appropriation to reserves,Appropriation to reserves,Appropriation to reserves,-,-,"634,869,606,672","(634,869,606,672)",-,,,,,
Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,-,-,-,"(38,081,264,314)","(38,081,264,314)",,,,,
Balance at 31 December 2024,Balance at 31 December 2024,Balance at 31 December 2024,"24,657,891,520,000","53,271,987,348","3,223,626,131,166","3,736,255,794,810","31,671,045,433,324",,,,,
