row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021 (Triệu VND),USD,EUR,Khác,Tổng cộng,numeric__USD,numeric__EUR,numeric__Khác,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,108.912,95.065,72.237,276.214,108912.0,95065.0,72237.0,276214.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,2.230.506,,,2.230.506,2230506.0,,,2230506.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,6.612.325,205.438,66.886,6.884.649,6612325.0,205438.0,66886.0,6884649.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,3.035.294,,,3.035.294,3035294.0,,,3035294.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,306.586,513,1.090,308.189,306586.0,513.0,1090.0,308189.0
,,,12.293.623,301.016,140.213,12.734.852,12293623.0,301016.0,140213.0,12734852.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,7.275.592,-,1.090,7.276.682,7275592.0,,1090.0,7276682.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,1.816.233,273.578,36.724,2.126.535,1816233.0,273578.0,36724.0,2126535.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,5.991.912,424.789,48.568,6.465.269,5991912.0,424789.0,48568.0,6465269.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,59.643,1.415,-,61.058,59643.0,1415.0,,61058.0
,,,15.143.380,699.782,86.382,15.929.544,15143380.0,699782.0,86382.0,15929544.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,(2.849.757),(398.766),53.831,(3.194.692),-2849757.0,-398766.0,53831.0,-3194692.0
