row_label_raw,row_label_full,Thời điểm phát sinh khoản nợ,Khoảng thời gian phát sinh nghĩa vụ trả nợ,Tình trạng quá hạn,Khoảng thời gian phát sinh quá hạn,Áp dụng phân loại nợ,numeric__Khoảng thời gian phát sinh nghĩa vụ trả nợ,numeric__Tình trạng quá hạn,numeric__Khoảng thời gian phát sinh quá hạn,numeric__Áp dụng phân loại nợ
Trước 23/1/2020,Trước 23/1/2020,Trước 23/1/2020,,Quá hạn,Từ 23/1/2020 đến 29/3/2020,Giữ nguyên nhóm nợ đã phân loại tại thời điểm gần nhất trước ngày 23/1/2020.,,,,
Từ 23/1/2020 đến trước 10/6/2020,Từ 23/1/2020 đến trước 10/6/2020,Từ 23/1/2020 đến trước 10/6/2020,,Quá hạn,Từ 23/1/2020 đến trước 17/5/2021,Giữ nguyên nhóm nợ đã phân loại tại thời điểm gần nhất trước ngày khoản nợ bị chuyển quá hạn.,,,,
Từ 10/6/2020 đến trước 1/8/2021,Từ 10/6/2020 đến trước 1/8/2021,Từ 10/6/2020 đến trước 1/8/2021,,Quá hạn,Từ 17/7/2021 đến trước 7/9/2021,Giữ nguyên nhóm nợ đã phân loại tại thời điểm gần nhất trước ngày khoản nợ bị chuyển quá hạn.,,,,
