row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020(Triệu VND),Quá hạn > Đến3 tháng,Quá hạn > Trên 3tháng,Quá hạn > Đến1 tháng,Quá hạn > Từ 1 đến3 tháng,Trong hạn > Từ 3 đến12 tháng,Trong hạn > Từ 1 nămđến 5 năm,Trong hạn > Trên5 năm,Tổng cộng,numeric__Quá hạn > Đến3 tháng,numeric__Quá hạn > Trên 3tháng,numeric__Quá hạn > Đến1 tháng,numeric__Quá hạn > Từ 1 đến3 tháng,numeric__Trong hạn > Từ 3 đến12 tháng,numeric__Trong hạn > Từ 1 nămđến 5 năm,numeric__Trong hạn > Trên5 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.012.228,-,-,-,-,1.012.228,,,1012228.0,,,,,1012228.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,3.374.359,-,-,-,-,3.374.359,,,3374359.0,,,,,3374359.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,23.152.679,2.588.500,-,-,-,25.741.179,,,23152679.0,2588500.0,,,,25741179.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,2.705.920,-,-,-,-,2.705.920,,,2705920.0,,,,,2705920.0
Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Các công cụ tài chính phải sinh và cáctài sản tài chính khác,-,-,-,121.495,23.109,-,-,144.604,,,,121495.0,23109.0,,,144604.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,114.722,2.020.962,4.202.222,5.100.583,51.829.478,22.797.120,22.804.149,108.869.236,114722.0,2020962.0,4202222.0,5100583.0,51829478.0,22797120.0,22804149.0,108869236.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,20.760.908,650.000,2.822.629,6.577.611,1.409.353,32.220.501,,,20760908.0,650000.0,2822629.0,6577611.0,1409353.0,32220501.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,-,-,-,-,-,131.666,131.666,,,,,,,131666.0,131666.0
Tài sản cố định và Bất động sản đầu tư,Tài sản > Tài sản cố định và Bất động sản đầu tư,Tài sản cố định và Bất động sản đầu tư,-,-,-,-,-,-,1.103.421,1.103.421,,,,,,,1103421.0,1103421.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,-,-,375.980,1.489.039,1.509.583,2.753.581,-,6.128.183,,,375980.0,1489039.0,1509583.0,2753581.0,,6128183.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,114.722,2.020.962,55.584.296,9.949.617,56.184.799,32.128.312,25.448.589,181.431.297,114722.0,2020962.0,55584296.0,9949617.0,56184799.0,32128312.0,25448589.0,181431297.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,25.240,60.968,119.494,-,-,205.702,,,25240.0,60968.0,119494.0,,,205702.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,39.779.179,2.457.464,280.030,-,-,42.516.673,,,39779179.0,2457464.0,280030.0,,,42516673.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,32.262.653,18.678.351,48.458.611,13.876.982,-,113.276.597,,,32262653.0,18678351.0,48458611.0,13876982.0,,113276597.0
"Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro",-,-,-,-,-,1.020,-,1.020,,,,,,1020.0,,1020.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,104.610,457.490,3.995.220,1.541.420,966.000,7.064.740,,,104610.0,457490.0,3995220.0,1541420.0,966000.0,7064740.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,872.941,693.975,1.529.781,375.481,-,3.472.178,,,872941.0,693975.0,1529781.0,375481.0,,3472178.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,73.044.623,22.348.248,54.383.136,15.794.903,966.000,166.536.910,,,73044623.0,22348248.0,54383136.0,15794903.0,966000.0,166536910.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,114.722,2.020.962,(17.460.327),(12.398.631),1.801.663,16.333.409,24.482.589,14.894.387,114722.0,2020962.0,-17460327.0,-12398631.0,1801663.0,16333409.0,24482589.0,14894387.0
