row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021(Triệu VND),Quá hạn,Khônghướng lãi,Dưới1 tháng,Từ 1 đến3 tháng,Từ 3 đến6 tháng,Từ 6 đến12 tháng,Từ 1 đến 5năm,Trên 5năm,Tổng cộng,numeric__Quá hạn,numeric__Khônghướng lãi,numeric__Dưới1 tháng,numeric__Từ 1 đến3 tháng,numeric__Từ 3 đến6 tháng,numeric__Từ 6 đến12 tháng,numeric__Từ 1 đến 5năm,numeric__Trên 5năm,numeric__Tổng cộng
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tải sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.076.028,-,-,-,-,-,-,1.076.028,,1076028.0,,,,,,,1076028.0
Tiền gửi tại NHNNVN,Tải sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,4.799.360,-,-,-,-,-,4.799.360,,,4799360.0,,,,,,4799360.0
Tiền gửi và cho vay các TCTD khác - gộp,Tải sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,-,-,34.151.405,6.099.769,2.339.303,-,-,-,42.590.477,,,34151405.0,6099769.0,2339303.0,,,,42590477.0
Chứng khoán kinh doanh - gộp,Tải sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,13.094.009,-,-,-,-,-,13.094.009,,,13094009.0,,,,,,13094009.0
Cho vay khách hàng - gộp,Tải sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,2.313.928,-,19.829.146,34.081.842,38.775.464,28.188.869,2.990.758,1.408.152,127.588.159,2313928.0,,19829146.0,34081842.0,38775464.0,28188869.0,2990758.0,1408152.0,127588159.0
Chứng khoán đầu tư - gộp,Tải sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,82.054,1.099.999,486.866,2.810.220,4.529.989,6.119.601,1.734.379,16.863.108,,82054.0,1099999.0,486866.0,2810220.0,4529989.0,6119601.0,1734379.0,16863108.0
"Góp vốn, đầu tư dài hạn - gộp","Tải sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,86.534,-,-,-,-,-,-,86.534,,86534.0,,,,,,,86534.0
Tài sản cố định và Bất động sản đầu tư,Tải sản > Tài sản cố định và Bất động sản đầu tư,Tài sản cố định và Bất động sản đầu tư,-,948.067,-,-,-,-,-,-,948.067,,948067.0,,,,,,,948067.0
Tài sản Có khác - gộp,Tải sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,-,6.496.632,-,-,-,-,-,-,6.496.632,,6496632.0,,,,,,,6496632.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,2.313.928,8.689.315,72.973.919,40.668.477,43.924.987,32.718.858,9.110.359,3.142.531,213.542.374,2313928.0,8689315.0,72973919.0,40668477.0,43924987.0,32718858.0,9110359.0,3142531.0,213542374.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,25.240,60.967,68.086,2.018.470,-,-,2.172.763,,,25240.0,60967.0,68086.0,2018470.0,,,2172763.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,42.837.652,10.943.119,1.354.080,261.947,2.969.200,-,58.365.998,,,42837652.0,10943119.0,1354080.0,261947.0,2969200.0,,58365998.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,28.869.577,28.203.150,24.042.626,17.333.254,11.334.030,2.000,109.784.637,,,28869577.0,28203150.0,24042626.0,17333254.0,11334030.0,2000.0,109784637.0
Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,-,47.804,-,-,-,-,-,-,47.804,,47804.0,,,,,,,47804.0
"Vốn tài trợ, ủy thác đầu tư, cho vay","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay","Vốn tài trợ, ủy thác đầu tư, cho vay",,,,,,,,,1.020,,,,,,,,,1020.0
TCTD chịu rủi ro,Nợ phải trả > TCTD chịu rủi ro,TCTD chịu rủi ro,-,1.020,-,-,-,-,-,-,,,1020.0,,,,,,,
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,41.530,216.580,3.554.690,12.840.400,2.400.000,-,19.053.200,,,41530.0,216580.0,3554690.0,12840400.0,2400000.0,,19053200.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,3.574.829,-,-,-,-,-,-,3.574.829,,3574829.0,,,,,,,3574829.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,3.623.653,71.773.999,39.423.816,29.019.482,32.454.071,16.703.230,2.000,193.000.251,,3623653.0,71773999.0,39423816.0,29019482.0,32454071.0,16703230.0,2000.0,193000251.0
Mức chênh nhạy cảm với lãi suất,Nợ phải trả > Mức chênh nhạy cảm với lãi suất,Mức chênh nhạy cảm với lãi suất,2.313.928,5.065.662,1.199.920,1.244.661,14.905.505,264.787,(7.592.871),3.140.531,20.542.123,2313928.0,5065662.0,1199920.0,1244661.0,14905505.0,264787.0,-7592871.0,3140531.0,20542123.0
